Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kinh nghiệm,Hình thức,Yêu cầu,Khác,Link
Digital Marketing Executive,Savimex Corporation,Cạnh tranh,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Quảng cáo / Đối ngoại / Truyền Thông",Trên 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCRequirements:Bachelor's degree in marketing, business, or a related major. At least 3 years of experience in digital marketing, ideally in e-commerce or retail...In-depth knowledge of digital marketing tools, such as Google Analytics, SEO tools, social media management platforms, and marketing automation software. Strong analytical and problem-solving skills, with the ability to interpret data and make data-driven decisions. Experience managing multi-channel digital advertising campaigns. Ability to prioritize and manage multiple projects and deadlines. Working time: Mon - Fri (7:30 - 16:30)Benefits:Salary: 13th salary and bonus, reviewed once a yearLunch allowanceAnnual leave: 14 – 16 days/yearCompany trip, annual health check-up: once a yearFull-salary social insuranceInternal/ External training coursesGift/bonus for special daysLocation: MOHO Office - 162 HT17, Hiep Thanh ward, District 12, HCMC",Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/digital-marketing-executive.35BEFEC1.html
Youtube Optimizer,Công ty Cổ Phần TV Hub,15 Tr - 20 Tr VND,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Quảng cáo / Đối ngoại / Truyền Thông",2 - 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC·         Tốt nghiệp chuyên ngành Marketing hoặc tương đương.·         Từ 2 năm kinh nghiệm làm việc với nền tảng YouTube/Tiktok, YouTube/Tiktok Analytics và những công cụ phân tích từ bên thứ ba như ComScore và Google Analytics hoặc công cụ phân tích của các mạng xã hội như Facebook, Insight, Abode Social…·         Am hiểu các phần mềm đặc thù về mảng: web, phân tích social, báo cáo và phân tích thị trường media, benchmarking.·         Có kinh nghiệm làm việc với key performance indicators (KPI) của lĩnh vực marketing.·         Có thể sử dụng các phần mềm như Adobe Photoshop, premiere là một lợi thế.Có khả năng thực hiện, tối ưu quảng cáo Google Adwords là lợi thế.Có kinh nghiệm làm việc tại các công ty Agency, truyền thông, giải trí là một lợi thế.",Độ tuổi: Không giới hạn tuổiLương: 15 Tr - 20 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/youtube-optimizer.35BF2691.html
Product Marketing & Sales Management Executive,LG Electronics Vietnam,Cạnh tranh,Hà Nội,18/12/2023,Nhân viên,Tiếp thị / Marketing,1 - 2 Năm,Nhân viên chính thức,YÊU CẦU CÔNG VIỆC- University graduate with a bachelor degree- Minimum 02 years of working experience- Good Excel and English communication skills- Data analytical and interpretation is desirable- Aggressive and sales-oriented,Bằng cấp: Đại họcĐộ tuổi: 26 - 30Lương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/product-marketing-sales-management-executive.35BF110A.html
Senior Marketing Executive (Parfois),CÔNG TY TNHH THỜI TRANG VÀ MỸ PHẨM ÂU CHÂU,Cạnh tranh,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp thị / Marketing , Dệt may / Da giày / Thời trang , Bán lẻ / Bán sỉ",3 - 5 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCMinimum 2 years’ experience in same level position, prefer candidates have experience in Retail industryStrong reporting skills Pro-active, adaptive and good follow-throughPositive attitude, result oriented, resourceful, innovativeGood command of English in writing & speakingHas experience in opening new stores activities and activationCompetent in office computer skills-Highly committed, passion, well organized, pro-active, honest, integrity, detailed, persevere and diligent","Bằng cấp: Đại họcGiới tính: NữPhụ cấp khác:Parking allowanceInternal SalesDiscount card for employees (up to 30%)Thời gian thử việc: 2 monthsCơ hội huấn luyện:Working with a team of leading experienced people in the Fashion Retail Industry.Joining the period training courses to upgrade knowledge, hard skills and soft skills.Độ tuổi: Không giới hạn tuổiThời gian làm việc: 08h30-17h30 Monday to FridayĐồng nghiệp:ACFC - Happy Place to Work, where the convergence of talents, unique personalities and energetic people.Modern working space, fully equipped for work such as laptops, phones,...Youthful and professional working environment.Opportunity to work with famous managers in the fashion industry.Phúc lợi:The cap of the salary used for social insurance contribution is 100%.Competitive salary, bonus scheme in quarters and years.Internal discount policy of 30-50%, internal sales events with a discount of up to 85%.Engagement events.Lương: Cạnh tranh",https://careerbuilder.vn/vi/tim-viec-lam/senior-marketing-executive-parfois.35BF2AB8.html
Account Director,CREASIA,Cạnh tranh,Hồ Chí Minh,17/12/2023,Giám đốc,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Dịch vụ khách hàng",5 - 10 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCBachelor’s degree in related field;At least 5 years’ experience in Marketing, field force agencies or trade marketing of FMCG companies;Excellent client service skill and business development;Excellent commercial skills with attention to detail;Leadership skills and a positive attitude;Independence and initiative;A structured and disciplined approach to project management;Fluent command of written and spoken Vietnamese and English.",Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/account-director.35BEFE79.html
Chuyên viên Digital Marketing,Công ty Cổ phần CANIFA,10 Tr - 20 Tr VND,Hà Nội,16/12/2023,Nhân viên,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Quảng cáo / Đối ngoại / Truyền Thông",2 - 10 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCTốt nghiệp Cao đẳng trở lên, ưu tiên bằng cử nhân các chuyên ngành Thương mại điện tử, Marketing,…Tối thiểu 2 năm kinh nghiệm về SEM, Quảng cáo trên Facebook, quảng cáo hiển thị hình ảnh, tiếp thị lại, phân tích và tiếp thị hiệu suất.Kinh nghiệm thiết lập Facebook pixelKiến thức sâu rộng về Google Key Planner và các công cụ nghiên cứu từ khóa khácCó tinh thần tự giác cao và chủ động, có thể làm được.Ưu tiên ứng viên có kinh nghiệm thương mại điện tử, bán lẻCó khả năng và mong muốn làm việc với dữ liệu lớn và các con số. Kỹ năng Excel tốt (SQL, Python, Power Pivot sẽ là một điểm cộng lớn)Có kinh nghiệm sử dụng Công cụ Analytics (Google Analytics, Adobe Analytics)Kinh nghiệm quản lý dự án xuất sắcTư duy định hướng kết quả và khả năng làm việc độc lậpYêu cầu giấy chứng nhận AdWords",Bằng cấp: Đại họcĐộ tuổi: 24 - 33Lương: 10 Tr - 20 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-digital-marketing.35BF34AD.html
Strategic Planner,Công ty Cổ Phần TV Hub,15 Tr - 25 Tr VND,Hồ Chí Minh,16/12/2023,Nhân viên,"Tiếp thị / Marketing , Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông",2 - 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC-          Sử dụng thành thạo các phần mềm: Microsoft office, Internet, tìm kiếm, đặc biệt sử dụng tốt Powerpoint.-          Có kiến thức về Digital Tool.-          Có ý tưởng sáng tạo, tư duy tổng hợp và phân tích tốt.-          Tinh thần trách nhiệm cao, kỹ năng giao tiếp, kỹ năng xây dựng mối quan hệ tốt với khách hàng cũng như trong môi trường nội bộ.-          Yêu thích ngành truyền thông, chịu được áp lực công việc-          Kỹ năng tổ chức và quản lý thời gian tốt-          Khả năng làm việc dưới áp lực. Sẵn sàng làm thêm giờ/cuối tuần vì kết quả và chất lượng công việc.-          Kỹ năng xây dựng kế hoạch, thuyết trình có tính thuyết phục.-          Đam mê, hợp tác, hướng ngoại, chủ động và sáng tạoTối thiểu 2 năm kinh nghiệm làm Agency lĩnh vực Marketing/Planning/Strategy",Bằng cấp: Đại họcĐộ tuổi: 27 - 35Lương: 15 Tr - 25 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/strategic-planner.35BEFBB8.html
Trade Marketing Team Lead (Kênh Horeca),CÔNG TY CỔ PHẦN ONE MOUNT GROUP,Cạnh tranh,Hà Nội,16/12/2023,Trưởng nhóm / Giám sát,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Thực phẩm & Đồ uống",2 - 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC- Background: FMCG, Fintech, E-commerce.- Deeply understand the distribution system, General Trade behavior, habits, and culture.- Strategy is thinking and follow-up to end.- Strong communication and negotiation skills.- Young, dynamic, enthusiastic, good attitude.- Good with numbers.",Độ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/trade-marketing-team-lead-kenh-horeca.35BEFC6D.html
"Digital Marketing (Facebook Ads, Google Ads)",CÔNG TY TNHH CÔNG NGHỆ GIÁO DỤC REAL LEARNING,12 Tr - 18 Tr VND,Hà Nội,16/12/2023,Nhân viên,"Tiếp thị / Marketing , Giáo dục / Đào tạo , Quảng cáo / Đối ngoại / Truyền Thông",Trên 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCƯu tiên ứng viên có thế mạnh chạy Google ads. Có kinh nghiệm chạy quảng cáo ở mảng Giáo dục. Có tối thiểu 2 năm kinh nghiệm trở lên về Marketing Online.Tốt nghiệp chuyên ngành Marketing, Truyền thông, Digital marketing, công nghệ thông tin.Khả năng lập kế hoạch Digital Marketing.Kỹ năng phân tích số liệu, tối ưu chi phí quảng cáo.Khả năng làm việc nhóm, trách nhiệm, tận tâm.Quyền lợi ứng viênThu nhập: 12 - 18 triệu/tháng bao gồm: lương cơ bản + hoa hồng Lương tháng 13, thưởng theo kết quả kinh doanh hàng năm của Công ty.Được tham gia các khóa học tiếng Anh chất lượng cao 1 kèm 1 với học phí ưu đãi.Đóng bảo hiểm đầy đủ theo quy định.Thời gian làm việc: từ 8h30-17h30 từ t2- sáng t7.",Độ tuổi: Không giới hạn tuổiLương: 12 Tr - 18 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/digital-marketing-facebook-ads-google-ads.35BEFC20.html
CHUYÊN VIÊN CHĂM SÓC KHÁCH HÀNG,Công Ty Cổ Phần Việt Hương,Cạnh tranh,Bình Dương,16/12/2023,Nhân viên,Tiếp thị / Marketing,1 - 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC·         - Tốt nghiệp trình độ đại học các ngành liên quan đến Kinh doanh, Kinh tế, Truyền thông - Marketing hoặc các ngành liên quan.·         - Kinh nghiệm tối thiểu 1 năm ở vị trí chăm sóc khách hàng.·         - Thành thạo tin học văn phòng.·         - Thành thạo tiếng Hoa 4 kỹ năng, giao tiếp được tiếng Anh là một lợi thế.·         - Có khả năng giao tiếp và thấu hiểu tốt.·         - Nhanh nhẹn, hòa đồng.","Bằng cấp: Đại họcThời gian thử việc: 2 thángĐộ tuổi: 23 - 45Thời gian làm việc: Hành chínhĐồng nghiệp: Thân thiện, môi trường tốt.Phúc lợi:- Thưởng các ngày Lễ, Tết.- Thưởng tháng 13- BHXH đầy đủ.- Nghỉ chiều thứ 7 và CN.- Các chế độ theo luật lao động.Ngày nghỉ: Chủ nhậtLương: Cạnh tranh",https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cham-soc-khach-hang.35BEFABB.html
Digital Marketing,Công ty TNHH TM&DV Phân Phối Ánh Dương,11 Tr - 15 Tr VND,Hà Nội,16/12/2023,Nhân viên,"Tiếp thị / Marketing , Hàng gia dụng / Chăm sóc cá nhân , Quảng cáo / Đối ngoại / Truyền Thông",2 - 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC- Tốt nghiệp cao đẳng trở lên chuyên ngành công nghệ thông tin, marketing số, … hoặc các chuyên ngành liên quan- 2 năm kinh nghiệm vị trí tương đương, ưu tiên ứng viên có kinh nghiệm trong lĩnh vực bán lẻ, FMCG- Có kiến thức về internet, online, các trang web, ranking, alexa, google, facebook…- Am hiểu về SEO, SEM, Directory submit, URL submit, Forum, mạng xã hội, các trang web mua bán…và thường xuyên chơi trên các mạng xã hội, forum.",Bằng cấp: Cao đẳngĐộ tuổi: 25 - 40Lương: 11 Tr - 15 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/digital-marketing.35BEFB97.html
TRƯỞNG NHÓM PHÁT TRIỂN KINH DOANH,Công Ty Cổ Phần Dệt Trần Hiệp Thành,Cạnh tranh,Hồ Chí Minh,16/12/2023,Trưởng nhóm / Giám sát,Tiếp thị / Marketing,Trên 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC-     Trình độ:  Đại học-     Kinh nghiệm làm việc: 3 năm trở lên-     Ngoại ngữ : tiếng Anh lưu loát 4 kỹ năng-     Tin học : Sử dụng thành thạo vi tính Văn phòng-     Có kiến thức về kinh Doanh và marketing. Bên cạnh đó, có lượng kiến thức nhất định về ngành dệt nhuộm. Nắm rõ về sản phẩm và hành vi tiêu dùng của khách hàng.-     Có kỹ năng nghiên cứu thị trường-     Có kỹ năng đàm phán, thuyết trình, thương lượng tốt cùng với kỹ năng giao tiếp, ngoại ngữ thành thạo-     Có khả năng làm việc độc lập và làm việc nhóm hiệu quả, khả năng phối hợp và chịu được áp lực cao.",Bằng cấp: Đại họcĐộ tuổi: 25 - 45Lương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/truong-nhom-phat-trien-kinh-doanh.35BF08BB.html
