Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Ngành nghề,Kinh nghiệm,Hình thức,Yêu cầu,Link
nhân viên kinh doanh digital marketing full-time 2023,công ty rafa ,Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng; Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng; Từ 15 Triệu - Dưới 20 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,Bán hàng (Sales),0,Toàn thời gian,"YÊU CẦU ỨNG VIÊN• Có laptop để làm việc.• Có tinh thần cầu tiến, chăm chỉ.• Năng động, thích ứng nhanh với công việc.• Có khả năng đàm phán, thuyết phục là một lợi thế.• Không yêu cầu kinh nghiệm làm việc (được đào tạo).",https://ybox.vn/tuyen-dung/hn-cong-ty-rafa-tuyen-dung-nhan-vien-kinh-doanh-digital-marketing-full-time-2023-656939f9663c8e1527eda946
nhân viên admin fanpage phim full-time 2023,công ty truyền thông max group ,Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng; Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng; Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR; Khác",0,Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Yêu thích hoặc có hiểu biết về các chủ đề: Phim ngắn, hài kịch, drama. sitcom- Có kiến thức tổng quan và kinh nghiệm về xây dựng, phát triển kênh social media (Facebook/Youtube/Tiktok )- Có kỹ năng sáng tạo nội dung, có kỹ năng sử dụng phần mềm chỉnh sửa video, ảnh cơ bản (Premiere, Photoshop, ...)- Tự tin, nhiệt huyết, có tinh thần trách nhiệm cao; kỹ năng làm việc độc lập và làm việc nhóm",https://ybox.vn/tuyen-dung/hn-cong-ty-truyen-thong-max-group-tuyen-dung-nhan-vien-admin-fanpage-phim-full-time-2023-65695bd82e3b9920d13007a7
nhân viên bán hàng part-time/full-time 2023,thương hiệu trang sức bạc thủ công shimmer silver ,Thỏa thuận,Hồ Chí Minh,HẠN CUỐI: 31/12/2023,Bán hàng (Sales),0,Toàn thời gian; Bán thời gian,"YÊU CẦU ỨNG VIÊN💎 YÊU CẦU- Ngoại hình dễ thương, thật thà, năng động, yêu thích thời trang.- Kỹ năng giao tiếp cơ bản.- Có trách nhiệm trong công việc.- Hiểu biết về đá thiên nhiên.- Làm việc theo ca hoặc ngày.- Làm việc tại 128 Lê Lai, Quận 1.",https://ybox.vn/tuyen-dung/hcm-thuong-hieu-trang-suc-bac-thu-cong-shimmer-silver-tuyen-dung-nhan-vien-ban-hang-part-time-full-time-2023-65682fe90636f742b66c1d85
thực tập sinh media video editor part-time/full-time 2023,công ty giải trí và truyền thông ez network ,Thỏa thuận,Hà Nội,HẠN CUỐI: 31/12/2023,"Thiết kế; Marketing, Truyền Thông, PR",0,Thực tập; Toàn thời gian; Bán thời gian,"YÊU CẦU ỨNG VIÊNBiết sử dụng Adobe Premiere, Adobe After Effect là lợi thế.Có kiến thức về quay phim và chụp ảnh, sử dụng thành thạo máy quay, máy chụp hình, các phần mềm dựng video chuyên nghiệp.Kỹ năng sử dụng phần mềm Premiere hoặc các phần mềm edit video, có hiểu biết về After effects, OBS.Năng động, sáng tạo, bắt trend xu hướng nhanh.Có khả năng làm việc độc lập.Có tư duy ánh sáng, màu sắc, blend.Hiểu về bố cục, ánh sáng, set up set quay.Có khả năng làm việc nhóm, nhanh nhẹn và chủ động trong công việc.Sáng tạo, ham học hỏi, nhiệt tình.",https://ybox.vn/tuyen-dung/hn-cong-ty-giai-tri-va-truyen-thong-ez-network-tuyen-dung-thuc-tap-sinh-media-video-editor-part-time-full-time-2023-65683a9f7de2ad46a3852411
chuyên viên editor full-time 2023,công ty zone68 group ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 5/1/2024,"Marketing, Truyền Thông, PR",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNTrình độ: Tốt nghiệp Đại học/Cao đẳng các trường đào tạo về quay, dựng phim.Có ít nhất 1 năm kinh nghiệm làm việc, ưu tiên đã có kinh nghiệm làm video talk show, điểm tin, vlog.Sử dụng thành thạo các phần mềm Adobe (Premiere, After Effect, Photoshop)Sáng tạo và nhiều ý tưởng, có tinh thần chủ động tìm kiếm những video xu hướng thịnh hành hiện tại.Ưu tiên có kiến thức và sử dụng các công nghệ, phần mềm mới nhất để sản xuất nội dung theo xu hướng của thị trường.Tinh cách trẻ trung, dễ hòa đồng, ham học hỏi.Có tinh thần và trách nhiệm với công việc.",https://ybox.vn/tuyen-dung/hn-cong-ty-zone68-group-tuyen-dung-chuyen-vien-editor-full-time-2023-656827d38c913b409431eb8d
nhân viên kinh doanh part-time/full-time 2023,công ty up ads ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng; Từ 15 Triệu - Dưới 20 Triệu VNĐ / Tháng; Từ 20 Triệu VNĐ trở lên / Tháng; Thỏa thuận,Hà Nội,HẠN CUỐI: 15/2/2024,Bán hàng (Sales),0,Toàn thời gian; Bán thời gian,"YÊU CẦU ỨNG VIÊN•           Có laptop cá nhân.•           Có tinh thần cầu tiến, chăm chỉ.•           Năng động, thích ứng nhanh với công việc.•           Có khả năng đàm phán, thuyết phục là một lợi thế.•           Ưu tiên các bạn mới ra trường,chưa có kinh nghiệm.",https://ybox.vn/tuyen-dung/hn-cong-ty-up-ads-tuyen-dung-nhan-vien-kinh-doanh-part-time-full-time-2023-6568554a8dd8965412d04f94
"nhân viên visual video editor (visual artist), digital marketing, trưởng nhóm thiết kế đồ họa full-time 2023","công ty truyền thông, giải trí và tổ chức sự kiện layon e&m ",Thỏa thuận,Hà Nội,HẠN CUỐI: 31/12/2024,Thiết kế; Khác,0,Toàn thời gian,"YÊU CẦU ỨNG VIÊNCó kỹ năng về thiết kế đồ họa, motion graphics, animation, video editing, vfx...Có thể sử dụng thành thạo các phần mềm như Photoshop, Illustrator, After Effects, Premiere Pro...Có khả năng làm việc độc lập hoặc theo nhóm, chịu được áp lực công việc cao.Ưu tiên có kinh nghiệm dựng show truyền hình, event biểu diễn – Am hiểu kỹ thuật dựng hình, kỹ thuật LED trình chiếu.",https://ybox.vn/tuyen-dung/hn-cong-ty-truyen-thong-giai-tri-va-to-chuc-su-kien-layon-e-and-m-tuyen-dung-nhan-vien-visual-video-editor-visual-artist-digital-marketing-truong-nhom-thiet-ke-do-hoa-full-time-2023-65680794060f373114c02198
cộng tác viên email marketing part-time/full-time 2023,hệ thống đồng hồ hải triều ,Thỏa thuận,Hồ Chí Minh,HẠN CUỐI: 30/12/2023,"Marketing, Truyền Thông, PR",0,Bán thời gian; Toàn thời gian; Khác,"YÊU CẦU ỨNG VIÊNThời gian làm việc tại văn phòng tối thiểu 3 ngày/tuần.Sử dụng Canva Pro một cách thành thạo. Có tư duy thiết kế, mắt thẩm mỹ tốt.Có khả năng viết Content và yêu thích Marketing. Học chuyên ngành Marketing/Quản trị kinh doanh là một lợi thế.Tính cách cẩn thận, tỉ mỉ, quan tâm tiểu tiết.Có laptop cá nhân.",https://ybox.vn/tuyen-dung/hcm-he-thong-dong-ho-hai-trieu-tuyen-dung-cong-tac-vien-email-marketing-part-time-full-time-2023-656847f6a6fea14e2f20cc90
nhân viên marketing full-time 2023,công ty đầu tư công nghệ future media ,Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng; Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Có kiến thức nền tảng về Marketing- Có khả năng khái quát hóa- phân tích- tư duy có logic- Ưu tiên ứng viên đã làm về mảng Social Media, chạy quảng cáo Youtube- Kinh nghiệm ít nhất 6 tháng- Yêu thích các hoạt động online, Tiếng anh cơ bản",https://ybox.vn/tuyen-dung/hn-cong-ty-dau-tu-cong-nghe-future-media-tuyen-dung-nhan-vien-marketing-full-time-2023-6568054b060f373114c02104
nhân viên account full-time 2023,công ty quảng cáo & truyền thông updia ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng; Từ 15 Triệu - Dưới 20 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,"Hành chính, Nhân sự",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Tốt nghiệp các ngành kinh doanh, đối ngoại, quốc tế, truyền thông, marketing ....- Nam, nữ độ tuổi 9x- Có từ 1 năm kinh nghiệm ở vị trí Account Excutive, Sale B2B ... ưu tiên có kinh nghiệm trong lĩnh vực Digital marketing, Agency- Nắm bắt được thị trường, xu hướng ngành marketing - Kỹ năng giao tiếp, đàm phán, thương lượng, thuyết phục tốt- Có khả năng hướng đến mục tiêu, phân tích và ra quyết định- Kỹ năng lập kế hoạch và quản lý khối lượng công việc lớn- Có trách nhiệm, chủ động, cầu tiến- Làm việc độc lập và làm việc nhóm",https://ybox.vn/tuyen-dung/hn-cong-ty-quang-cao-and-truyen-thong-updia-tuyen-dung-nhan-vien-account-full-time-2023-6568517bc6b51352f28f9369
"nhân viên researcher & idea creator, tối ưu quảng cáo & dòng tiền trong game full-time 2023",côg ty ikame global ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng; Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",0,Toàn thời gian,"YÊU CẦU ỨNG VIÊNKhả năng sáng tạo và đánh giá, nắm bắt nhanh các xu hướng trên thị trường để đề xuất các ý tưởng mang tính đột phá và hiệu quảCó khả năng phân tích, đánh giá chuyên sâu xác định độ hiệu quảCẩn thận, tỉ mỉ, thái độ làm việc cầu tiếnChủ động, có tinh thần trách nhiệm trong công việcĐam mê researchĐiểm cộng nếu bạn:Yêu thích chơi game và mong muốn phát triển trong ngành gameCó năng khiếu mỹ thuật, kiến thức về bố cục, màu sắc và tư duy tốt là một lợi thếCó khả năng ngoại ngữ tốt",https://ybox.vn/tuyen-dung/hn-cog-ty-ikame-global-tuyen-dung-nhan-vien-researcher-and-idea-creator-toi-uu-quang-cao-and-dong-tien-trong-game-full-time-2023-6566f38a35a8bf6119e1007e
"users acquisition specialist, ads monetization specialist full-time 2023",công ty monster game studio ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng; Từ 15 Triệu - Dưới 20 Triệu VNĐ / Tháng; Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",0,Toàn thời gian,"YÊU CẦU ỨNG VIÊNCó khả năng sử dụng Tiếng anh, vì chúng mình sẽ chinh chiến trên khắp mọi mặt trậnCó tư duy data-driven tốt Có khả năng làm việc độc lập, phối hợp tốt với các team khác  Chủ động và có khả năng tự học caoTinh thần dám thử dám làm, tinh thần trách nhiệm caoCó kinh nghiệm chạy ads ở các nền tảng như Facebook, Google là một điểm cộng",https://ybox.vn/tuyen-dung/hn-cong-ty-monster-game-studio-tuyen-dung-users-acquisition-specialist-ads-monetization-specialist-full-time-2023-65670a066721886d09da6b2d
thực tập sinh nhân sự full-time 2023,công ty nghiên cứu và tư vấn thị trường vinamr ,Từ 1 Triệu - Dưới 4 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 31/12/2023,"Hành chính, Nhân sự",0,Toàn thời gian; Thực tập,"YÊU CẦU ỨNG VIÊN·        Sử dụng thành thạo MS Word, Excel·        CV bằng tiếng Anh·        Tốt nghiệp chuyên ngành Quản trị nguồn nhân lực hoặc các chuyên ngành liên quan·        Cẩn thận, ham học hỏi, trung thực·        Ưu tiên nam·        Thời gian làm việc: 8h30 – 17h30 từ thứ 2 – thứ 6 hàng tuần và 2 ngày thứ 7/tháng·        Địa điểm làm việc: The Manor Officetel, Bình Thạnh, TPHCM",https://ybox.vn/tuyen-dung/hcm-cong-ty-nghien-cuu-va-tu-van-thi-truong-vinamr-tuyen-dung-thuc-tap-sinh-nhan-su-full-time-2023-6567efc76a5dd32fa6d30471
nhân viên phát triển kinh doanh full-time 2023,công ty clover advertising agency ,Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 21/12/2023,Bán hàng (Sales),6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Kĩ năng tìm kiếm khách hàng và tiếp thị tốt, có kinh nghiệm trong các công ty về quảng cáo, truyền thông là lợi thế.- Chịu khó học hỏi, trau dồi kiến thức không chỉ trong lĩnh vực sale mà còn trong lĩnh vực Digital Marketing- Tư duy ngắn gọn, logic và thuyết phục.- Kĩ năng làm việc độc lập cũng như làm việc nhóm tốt.- Kỹ năng giao tiếp tốt, tạo độ tin tưởng với khách hàng.- Kinh nghiệm 06 tháng - 1 năm kinh doanh dịch vụ quảng cáo truyền thông.",https://ybox.vn/tuyen-dung/hcm-cong-ty-clover-advertising-agency-tuyen-dung-nhan-vien-phat-trien-kinh-doanh-full-time-2023-65680b3e9210fa38249eb5d7
nhân viên thiết kế hình ảnh sản phẩm full-time 2023,công ty đầu tư mamsell ,Từ 15 Triệu - Dưới 20 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 25/12/2023,Thiết kế,6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN3-5 năm hoặc hơn kinh nghiệm tương đương trong lĩnh vực.Chuyên môn sâu về Photoshop.Thành thạo Illustrator, Indesign và Figma.Kỹ năng chụp ảnh và quay phim cơ bản cho sản phẩm.Thành thạo phần mềm Blender và After Effects là một lợi thế.Trung thực, nhiệt huyết, tỉ mỉ với công việcKhả năng làm việc độc lập và làm việc nhóm.Kỹ năng tiếng Anh cơ bản.",https://ybox.vn/tuyen-dung/hn-cong-ty-dau-tu-mamsell-tuyen-dung-nhan-vien-thiet-ke-hinh-anh-san-pham-full-time-2023-65670c276721886d09da6b8d
thực tập sinh kinh doanh b2b mảng truyền hình full-time 2023,công ty golden key media ,Từ 1 Triệu - Dưới 4 Triệu VNĐ / Tháng,Hồ Chí Minh; Hà Nội,HẠN CUỐI: 17/1/2024,Bán hàng (Sales),0,Thực tập; Toàn thời gian,"YÊU CẦU ỨNG VIÊNTHÁI ĐỘ Chủ động: ý thức và tự giác xử lý và sắp xếp công việc độc lậpCầu thị: Ham học hỏi và mong muốn phát triển bản thânĐam mê và định hướng: phát triển trong lĩnh vực kinh doanh mở rộng và hướng phát triển khởi nghiệp cá nhân.Chỉnh chu: Trang phục nghiêm túc, lịch sự khi gặp đối tác. Trang phục đi làm không gò bó, không khuôn mẫu.Hòa đồng: chia sẻ và hỗ trợ đồng nghiệp, tích cực tham gia các hoạt động nhómKỸ NĂNG Kỹ năng tin học văn phòngKỹ năng giao tiếp, đàm phán và xử lý tình huống tốt",https://ybox.vn/tuyen-dung/hcm-cong-ty-golden-key-media-tuyen-dung-thuc-tap-sinh-kinh-doanh-b2b-mang-truyen-hinh-full-time-2023-6566dff49b2b8c5451bc79b5
thực tập sinh phát triển kinh doanh full-time 2023,công ty digital university ,Thỏa thuận,Hồ Chí Minh,DEADLINE: 29/12/2023,Bán hàng (Sales),0,Thực tập; Toàn thời gian,REQUIREMENTSHave personal laptopHaving good English communication skills is an advantageHave a creative spirit and love for business in education specially technology and designHave a professional working style and attitudeAble to work under high pressure to achieve sales target,https://ybox.vn/tuyen-dung/hcm-cong-ty-digital-university-tuyen-dung-thuc-tap-sinh-phat-trien-kinh-doanh-full-time-2023-6566c2db80320b4abc522ecb
nhân viên telesales full-time 2023,công ty xuất nhập khẩu gold fuji ,Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 25/12/2023,Bán hàng (Sales),0,Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Có ngoại hình xinh, Gương mặt ưa nhìn, tự tin, tính tình vui vẻ- Có giọng nói chuẩn, hay, khả năng diễn đạt lưu loát, giao lưu hoạt bát.- Có khả năng giao tiếp, tương tác tốt, người mua hàng",https://ybox.vn/tuyen-dung/hn-cong-ty-xuat-nhap-khau-gold-fuji-tuyen-dung-nhan-vien-telesales-full-time-2023-6566b1f6594de744c5db2730
nhân viên sales marketing full-time 2023,công ty dental marketing agency dma ,Thỏa thuận,Hà Nội,HẠN CUỐI: 31/12/2023,Bán hàng (Sales),6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNkinh nghiệm 3-6 tháng chăm chỉ, cầu tiến trong công việc ",https://ybox.vn/tuyen-dung/hn-cong-ty-dental-marketing-agency-dma-tuyen-dung-nhan-vien-sales-marketing-full-time-2023-65671fe113f16e718c333a9a
nhân viên tư vấn sản phẩm phần mềm full-time 2023,công ty mediastep software việt nam ,Thỏa thuận; Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng; Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng; Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Đà Nẵng,HẠN CUỐI: 28/12/2023,Bán hàng (Sales),6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Ứng viên bắt buộc phải có kĩ năng sale, tư vấn ít nhất từ 6 tháng trở lên- Độ tuổi từ 1999 -1990 , nếu 2000 thì các bạn phải tốt nghiệp và có kinh nghiệm sale- Có laptop để trang bị trong quá trình làm việc- Tin học văn phòng (Worl. Excel) cơ bản và am hiểu internet, mạng xã hội.- Hoạt ngôn, nhiệt huyết, đam mê kiếm tiền.",https://ybox.vn/tuyen-dung/da-nang-cong-ty-mediastep-software-viet-nam-tuyen-dung-nhan-vien-tu-van-san-pham-phan-mem-full-time-2023-6566bfe2b08b8049fc46b7d4
nhân viên digital marketing full-time 2023,tổ chức công nghệ giáo dục teky holdings ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNTrình độ: Cao đẳng trở lên chuyên ngành Marketing, truyền thông và các ngành liên quan.Có kinh nghiệm từ 1 năm trở lên.Có kinh nghiệm trong việc triển khai các chiến dịch digital với ngân sách lớn (trên 500m/1 tháng)Ưu tiên có kinh nghiệm chạy các sản phẩm ngành giáo dụcCó kiến thức về SEO, Google Analytics là một lợi thế.Chăm chỉ, nhiệt tình có trách nhiệm trong công việc.",https://ybox.vn/tuyen-dung/hcm-to-chuc-cong-nghe-giao-duc-teky-holdings-tuyen-dung-nhan-vien-digital-marketing-full-time-2023-656704cffede096b09292662
nhân viên telesales full-time 2023,công ty timviec365.vn ,Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,Bán hàng (Sales),0,Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Không yêu cầu kinh nghiệm- Không áp KPI- Năng động, nhiệt huyết, quyết liệt khi làm việc- Ưu tiên có kinh nghiệm làm về nhân sự/tuyển dụng - Ưu tiên có kinh nghiệm về Sale- Có laptop cá nhân để phục vụ công việc",https://ybox.vn/tuyen-dung/hn-cong-ty-timviec365-vn-tuyen-dung-nhan-vien-telesales-full-time-2023-6566d3a4819e644f9a44314c
"thực tập sinh kế toán, digital marketing full-time 2023",công ty blockchainwork ,Thỏa thuận,Hồ Chí Minh,HẠN CUỐI: 30/1/2024,"Kế toán, Kiểm toán",0,Thực tập; Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Là sinh viên năm 3,4 đang theo học các trường Đại học, chuyên ngành Kế toán - Kiểm toán.- Hiểu biết kiến thức về chuyên môn kế toán, quy định, chuẩn mực, thông tư kế toán- Sử dụng thành thạo các ứng dụng tin học văn phòng MS Office, đã tiếp cận với các phần mềm kế toán tại trường học (Misa)- Kỹ năng tổ chức tốt thời gian và công việc có khả năng multi-task (đa nhiệm)- Khả năng thích nghi nhanh, tự nghiên cứu tốt, biết lắng nghe- Yêu thích công việc và môi trường start-up- Chỉn chu, nhiệt tình, có trách nhiệm, thái độ phục vụ tốt, sống trung thực, chân thành, có trách nhiệm với bản thân, gia đình, công ty, cộng đồng và xã hội.",https://ybox.vn/tuyen-dung/startup-hcm-cong-ty-blockchainwork-tuyen-dung-thuc-tap-sinh-ke-toan-digital-marketing-full-time-2023-6565b3ced02c73753dc86751
"nhân viên content marketing, thiết kế đồ họa full-time 2023",công ty dịch vụ ăn uống carrot solution ,Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 29/12/2023,"Marketing, Truyền Thông, PR",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNTốt nghiệp chuyên ngành Marketing, Báo Chí hoặc các chuyên ngành liên quan là một lợi thế.Đã có ít nhất 1 năm kinh nghiệm ở vị trí Content Executive.Kỹ năng viết, sử dụng ngôn ngữ mạch lạc, có mắt thẩm mỹ.Cập nhật xu hướng tốt, đặc biệt là trong lĩnh vực F&B.Trung thực, ham học hỏi và có tư duy giải quyết vấn đề.Trách nhiệm và chủ động cao trong công việc, chịu được áp lực công việc.",https://ybox.vn/tuyen-dung/hn-cong-ty-dich-vu-an-uong-carrot-solution-tuyen-dung-nhan-vien-content-marketing-thiet-ke-do-hoa-full-time-2023-6566ef913e91f15ca0cd4513
quản lý kol livestream game full-time 2023,công ty công nghệ block dance ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNKiến thứcTốt nghiệp Cao đẳng chuyên ngành truyền thông, marketing hoặc tiếng TrungƯu tiên ứng viên biết Tiếng Trung (có thể xem hiểu các video trên Douyin)Có hiểu biết nhất định về xu hướng truyền thông tại Việt NamKinh nghiệmÍt nhất 1 năm kinh nghiệm với vị trí KOL và từng tổ chức livestream (hiểu rõ các quy tắc hoạt động trên nền tảng Tiktok)Ưu tiên ứng viên có nguồn diễn viên tự do, người dẫn chương trình, người nổi tiếng trên Internet và có thể nhận việc ngayKỹ năngKỹ năng giao tiếp và tinh tếKỹ năng lập kế hoạch và xây dựng mối quan hệCó khả năng nắm bắt nhanh xu hướng, phát triển ý tưởng và sáng tạoThái độCó định hướng theo mảng livestream, video ngắn lâu dàiYêu thích mảng game, luôn có tinh thần chủ động học hỏi, năng độngChịu được áp lực cao, tinh thần hợp tác tốt, có trách nhiệmKhácĐộ tuổi: 20 đến 35Làm việc trong môi trường startup",https://ybox.vn/tuyen-dung/hcm-cong-ty-cong-nghe-block-dance-tuyen-dung-quan-ly-kol-livestream-game-full-time-2023-6564624556dff503b904e835
thực tập sinh nhân sự full-time 2023,công ty nghiên cứu thị trường cimigo ,Từ 1 Triệu - Dưới 4 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 30/12/2023,"Hành chính, Nhân sự",0,Toàn thời gian; Thực tập,"YÊU CẦU ỨNG VIÊNYÊU CẦU- Thực tập fulltime tối thiểu 3 tháng, làm việc từ 8h30 - 17h30 từ T2 - Sáng T7- Biết vi tính văn phòng (Excel, Word), có laptop cá nhân- Kỹ năng giao tiếp hiệu quả, có trách nhiệm với công việc. Năng động, tự tin, sáng tạo.- Kỹ năng làm việc: quản lý thời gian, sắp xếp công việc.",https://ybox.vn/tuyen-dung/hcm-cong-ty-nghien-cuu-thi-truong-cimigo-tuyen-dung-thuc-tap-sinh-nhan-su-full-time-2023-6566e92b99923e5767127f2e
"nhân viên lên ý tưởng, thiết kế pod full-time 2023",công ty đầu tư & thương mại tbestpro ,Thỏa thuận; Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng; Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 10/5/2024,Thiết kế,0,Toàn thời gian,"YÊU CẦU ỨNG VIÊN-         Độ tuổi từ 2001 - 1997-         Trình độ Tiếng Anh: Khá, IELTS 6.0/ Toeic 650  trở lên hoặc các chứng chỉ tương đương.-         Sáng tạo, có khả năng nắm bắt xu hướng mới một cách nhanh chóng và áp dụng một cách hiệu quả vào việc phát triển sản phẩm mới.-         Có hiểu biết cơ bản về ngành E-commerce, Print-on-demand.-         Logic tốt, thẩm mỹ tốt.-         Cẩn thận, thái độ làm việc cầu tiến, có tinh thần trách nhiệm trong công việc.-         Biết sử dụng Photoshop cơ bản là một lợi thế.-         Gửi CV bằng tiếng Anh",https://ybox.vn/tuyen-dung/hn-cong-ty-dau-tu-and-thuong-mai-tbestpro-tuyen-dung-nhan-vien-len-y-tuong-thiet-ke-pod-full-time-2023-6566ba2e1c2568478731839e
nhân viên vẽ minh hoạ full-time 2023,công ty one republic ,Thỏa thuận,Hồ Chí Minh,HẠN CUỐI: 15/1/2024,Thiết kế,6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN• Ưu tiên có khả năng vẽ tay tốt, biết triển khai ý tưởng.• Trên 1 năm kinh nghiệm làm việc ở vị trí tương đương.• Ưu tiên sử dụng thành thạo phần mềm Procreate, Photoshop, Illustrator hoặc các phần mềm vẽ khác tương tự.• Tư duy hình ảnh tốt, sáng tạo.• Chăm chỉ, kỹ tính.• Có laptop riêng.",https://ybox.vn/tuyen-dung/hcm-cong-ty-one-republic-tuyen-dung-nhan-vien-ve-minh-hoa-full-time-2023-6566b123bb59ca45a5056ee6
nhân viên thiết kế 3d full-time 2023,công ty 2effect ,Thỏa thuận,Hồ Chí Minh,HẠN CUỐI: 30/12/2023,Thiết kế,0,Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Tốt nghiệp đại học, cao đẳng chuyên ngành Thiết Kế, Đồ Họa, Kiến Trúc, Multimedia- Sử dụng thông thạo 3Ds Max/Sketch up, Vray, AutoCAD- Ưu tiên ứng viên có khả năng dựng 3D Character, dựng phim và thiết kế 2D- Am hiểu về chất liệu và kỹ thuật in ấn phổ biến trong ngành tổ chức sự kiện - Đam mê, sáng tạo, thẩm mỹ, dễ thích nghi, linh hoạt, năng động và tuân thủ kỉ luật nội quy",https://ybox.vn/tuyen-dung/hcm-cong-ty-2effect-tuyen-dung-nhan-vien-thiet-ke-3d-full-time-2023-6566a75b5d233d4203b63097
nhân viên marketing game/app full-time 2023,công ty đầu tư công nghệ dịch vụ sconnect việt nam ,Từ 15 Triệu - Dưới 20 Triệu VNĐ / Tháng; Từ 20 Triệu VNĐ trở lên / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNKhông yêu cầu bằng cấp liên quan, chỉ tập trung vào năng lực, kinh nghiệm.Biết về thị trường game, xu thế và sở thích của đối tượng người dùngKiến thức cơ bản về sản xuất gameAm hiểu về Google Ads, Facebook Ads hoặc các Ads network khácKinh nghiệm: Tối thiểu 1 năm kinh nghiệm lĩnh vực quảng cáo game/app.Ngoại ngữ: Tiếng Anh cơ bản.Kỹ năng:Kỹ năng làm việc nhóm, làm việc độc lậpKỹ năng chịu áp lực trong công việcTiếng Anh tốt là một lợi thếThái độ, phẩm chất:Có đam mê, yêu thích với gameCó quyết tâm và định hướng gắn bó với ngành game.",https://ybox.vn/tuyen-dung/hn-cong-ty-dau-tu-cong-nghe-dich-vu-sconnect-viet-nam-tuyen-dung-nhan-vien-marketing-game-app-full-time-2023-65646a48ffb594086156ceaa
