Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Trình Dược Viên ETC,Công Ty Cổ Phần Giải Pháp Gene,Thương lượng,Tiền Giang,18/12/2023,Nhân viên,Dược,"Bán Hàng, Phát Triển Khách Hàng, Phát Triển Kinh Doanh, Quan Hệ Khách Hàng, ETC",https://www.vietnamworks.com/trinh-duoc-vien-etc--1726127-jv?source=searchResults&searchType=2&placement=1726127&sortBy=date
Trưởng Nhóm ETC,Công Ty Cổ Phần Giải Pháp Gene,Thương lượng,ĐBSCL,18/12/2023,Nhân viên,Dược,"Kênh ETC, Kinh Doanh Dược Mỹ Phẩm, Tìm Kiếm Khách Hàng, Quản Lý Kinh Doanh, Pharmacy ETC",https://www.vietnamworks.com/truong-nhom-etc--1726041-jv?source=searchResults&searchType=2&placement=1726041&sortBy=date
"Chuyên Viên Kinh Doanh Xuất Khẩu (Ưu Tiên TDV Kinh Nghiệm 1 Năm, Tiếng Anh Tốt)",Công Ty Cổ Phần Dược Phẩm Vĩnh Phúc,Thương lượng,Hà Nội,06/12/2023,Nhân viên,Dược,"Xuất Nhập Khẩu, Trình Dược Viên Kênh ETC",https://www.vietnamworks.com/chuyen-vien-kinh-doanh-xuat-khau-uu-tien-tdv-kinh-nghiem-1-nam-tieng-anh-tot-1722421-jv?source=searchResults&searchType=2&placement=1722421&sortBy=date
Product Manager (PM - Tốt Nghiệp Đại Học Dược Hà Nội) ETC,Công Ty Cổ Phần Dược Phẩm Thiên Thảo,$800 - $1000,Hà Nội,04/12/2023,Nhân viên,Dược,"R&amp;D Dược Phẩm, Nghiên Cứu Sản Phẩm, Phát Triển Sản Phẩm, Đăng Ký Thuốc, Marketing Dược Phẩm",https://www.vietnamworks.com/product-manager-pm-tot-nghiep-dai-hoc-duoc-ha-noi-etc--1721676-jv?source=searchResults&searchType=2&placement=1721676&sortBy=date
Nhân Viên Phụ Trách Bán Hàng,Công Ty Cổ Phần Villamed,Thương lượng,Hồ Chí Minh,24/11/2023,Nhân viên,Dược,Trình Dược ETC,https://www.vietnamworks.com/nhan-vien-phu-trach-ban-hang-1718359-jv?source=searchResults&searchType=2&placement=1718359&sortBy=date
Trưởng Ca Xưởng Thuốc Tiêm,Công Ty Cổ Phần Dược Phẩm Vĩnh Phúc,Thương lượng,Vĩnh Phúc,08/12/2023,Trưởng phòng,Dược,Dược Phẩm,https://www.vietnamworks.com/truong-ca-xuong-thuoc-tiem-1723128-jv?source=searchResults&searchType=2&placement=1723128&sortBy=date
Quản Lý Trình Dược Viên Kênh Y Tế Ngành Dinh Dưỡng (District Manager),Công Ty TNHH Thương Mại Vạn An,$1900 - $2400,Hồ Chí Minh,05/12/2023,Nhân viên,Dược,"Quản Lý Trình Dược Viên, Y Dược, Dinh Dưỡng, Dược Phẩm, Đào Tạo Tuyển Dụng",https://www.vietnamworks.com/quan-ly-trinh-duoc-vien-kenh-y-te-nganh-dinh-duong-district-manager-1721967-jv?source=searchResults&searchType=2&placement=1721967&sortBy=date
Phó GĐ Kinh Doanh Mảng Xét Nghiệm (Thu Nhập Từ 45 Triệu ++) - Phỏng Vấn Trước và Đi Làm Sau Tết,Công Ty CP Công Nghệ Lavitec,$1840 - $2000,Hà Nội,05/12/2023,Trưởng phòng,Dược,"Quản Lý Vùng, Quản Lý ETC, Dược Phẩm, Quản Lý Bán Hàng, Lập Kế Hoạch Kinh Doanh",https://www.vietnamworks.com/pho-gd-kinh-doanh-mang-xet-nghiem-thu-nhap-tu-45-trieu-phong-van-truoc-va-di-lam-sau-tet-1721856-jv?source=searchResults&searchType=2&placement=1721856&sortBy=date
Quản Lý Nhãn (Thu Nhập Từ 20 - 30 Triệu++) - Phỏng Vấn Trước và Đi Làm Sau Tết,Công Ty CP Công Nghệ Lavitec,$800 - $1300,Hà Nội,05/12/2023,Trưởng phòng,Dược,"Quản Lý Vùng, Quản Lý ETC, Dược Phẩm, Quản Lý Bán Hàng, Lập Kế Hoạch Kinh Doanh",https://www.vietnamworks.com/quan-ly-nhan-thu-nhap-tu-20-30-trieu-phong-van-truoc-va-di-lam-sau-tet-1721859-jv?source=searchResults&searchType=2&placement=1721859&sortBy=date
Business Unit Head - Otx Division,VPĐD Lupin Limited Tại TP. HCM,Thương lượng,Hồ Chí Minh,01/12/2023,Trưởng phòng,Dược,"Business Management, Sales Force Development, OTC Channel, Reporting, Budget Control",https://www.vietnamworks.com/business-unit-head-otx-division-1721228-jv?source=searchResults&searchType=2&placement=1721228&sortBy=date
"Trình Dược Viên Kênh Nhà Thuốc, Phòng Mạch, Phòng Khám Khu Vực Đồng Bằng Sông Cửu Long, Miền Trung",Văn Phòng Đại Diên Hetero Labs Limited Tại Tp Hồ Chí Minh,$400 - $600,Đà Nẵng,24/11/2023,Nhân viên,Dược,"Trình Dược Nhà Thuốc, Dược, Quản Lý Bán Hàng, Giới Thiệu Sản Phẩm, Trình Dược",https://www.vietnamworks.com/trinh-duoc-vien-kenh-nha-thuoc-phong-mach-phong-kham-khu-vuc-dong-bang-song-cuu-long-mien-trung-1-1704737-jv?source=searchResults&searchType=2&placement=1704737&sortBy=date
Trình Dược Viên ETC (Không Yêu Cầu Kinh Nghiệm - Thu Nhập Từ 10- 20 Triệu),Công Ty Cổ Phần Anvy,$400 - $800,Hà Nội,13/12/2023,Mới Tốt Nghiệp,Dược,"Trình Dược Viên Kênh ETC, Kinh Doanh, Bán Lẻ Thuốc, Bán Hàng",https://www.vietnamworks.com/trinh-duoc-vien-etc-khong-yeu-cau-kinh-nghiem-thu-nhap-tu-10-20-trieu-1724491-jv?source=searchResults&searchType=2&placement=1724491&sortBy=date
Trợ Lý Giám Đốc Ngành Dược (Lương 20 Triệu)Urgent job,Công Ty Cổ Phần Dược Phẩm Lv PHARMA,Từ $800,Hồ Chí Minh,12/12/2023,Nhân viên,Dược,"Trình Dược ETC, Tổ Chức Hội Thảo, Phát Triển Thị Trường, Chăm Sóc Khách Hàng, Trình Dược Nhà Thuốc",https://www.vietnamworks.com/tro-ly-giam-doc-nganh-duoc-luong-20-trieu-1724153-jv?source=searchResults&searchType=2&placement=1724153&sortBy=date
Nhân Viên Đăng Ký Giấy Phép Nhập Khẩu,Công Ty Cổ Phần Thiên Trường,Thương lượng,Hà Nội,29/11/2023,Nhân viên,Dược,"Thiết Bị Vật Tư Y Tế, Dự Án Thiết Bị Y Tế, Làm Hồ Sơ Thầu, Đăng Ký Lưu Hành Thuốc, Làm Hồ Sơ Đăng Ký Thuốc",https://www.vietnamworks.com/nhan-vien-dang-ky-giay-phep-nhap-khau-1719920-jv?source=searchResults&searchType=2&placement=1719920&sortBy=date
Nhân Viên Dự ÁnUrgent job,Công Ty Cổ Phần Thiên Trường,Thương lượng,Hà Nội,28/11/2023,Nhân viên,Dược,"Hồ Sơ Dự Thầu, Thiết Bị Vật Tư Y Tế, Dự Án Thiết Bị Y Tế, Dự Án, Làm Hồ Sơ Thầu",https://www.vietnamworks.com/nhan-vien-du-an--1719113-jv?source=searchResults&searchType=2&placement=1719113&sortBy=date
"Formulation, API, Vapi Regulatory Affairs (RA)","Salubris Pharmaceuticals Co., Ltd",Thương lượng,Hồ Chí Minh,18/12/2023,Mới Tốt Nghiệp,Dược,"Pharmacy, Project Management, English, Pharmacy Medicine, Pharmaceutical Ingredients",https://www.vietnamworks.com/formulation-api-vapi-regulatory-affairs-ra-1725944-jv?source=searchResults&searchType=2&placement=1725944&sortBy=date
"Nhân Viên Thầu, Bán Hàng Bệnh Viện",Công Ty Cổ Phần Dược Phẩm Thiết Bị Y Tế Hà Nội - Hapharco,Thương lượng,Hà Nội,04/12/2023,Nhân viên,Dược,"Dược Sỹ Đại Học Dược, Dược Phẩm, Bán Hàng, Y Tế, Kinh Doanh",https://www.vietnamworks.com/nhan-vien-thau-ban-hang-benh-vien--1721645-jv?source=searchResults&searchType=2&placement=1721645&sortBy=date
Trình Dược Viên ETC Tiền Giang,Công Ty TNHH Dược Phẩm Gigamed,Thương lượng,Tiền Giang,18/12/2023,Nhân viên,Dược,"Pharmacy, Dược, Trình Dược Viên Kênh ETC, Trình Dược Nhà Thuốc, Tư Vấn Sản Phẩm",https://www.vietnamworks.com/trinh-duoc-vien-etc-tien-giang--1726086-jv?source=searchResults&searchType=2&placement=1726086&sortBy=date
[Tuyển Gấp] Trình Dược Viên ETC,Công Ty Cổ Phần Dược Phẩm Sao Y,Thương lượng,Hà Nội,07/12/2023,Nhân viên,Dược,"Trình Dược Viên Kênh ETC, Kinh Doanh, Dược, Chăm Sóc Khách Hàng, DSM",https://www.vietnamworks.com/tuyen-gap-trinh-duoc-vien-etc--1722613-jv?source=searchResults&searchType=2&placement=1722613&sortBy=date
Trình Dược Viên TP.HCM (Không Yêu Cầu Kinh Nghiệm),Công Ty TNHH Dược Phẩm Accord,$300 - $1000,Hồ Chí Minh,27/11/2023,Nhân viên,Dược,"Trình Dược, Dược Phẩm, Y Dược, Marketing Sales, Tư Vấn Sản Phẩm",https://www.vietnamworks.com/trinh-duoc-vien-tp-hcm-khong-yeu-cau-kinh-nghiem-1--1718722-jv?source=searchResults&searchType=2&placement=1718722&sortBy=date
Key Account Manager - Pharmacy (Client Management),Zuellig Pharma Viet Nam,Thương lượng,Hồ Chí Minh,07/12/2023,Nhân viên,Dược,"Pharmacy OTC, Key Account Relationship Building, Key Account Development, Client Business Analysis, Customer Account",https://www.vietnamworks.com/key-account-manager-pharmacy-client-management-1722597-jv?source=searchResults&searchType=2&placement=1722597&sortBy=date
Medical Representative - OTC - Consumer Health Products,Bayer Vietnam Limited (Bvl),Thương lượng,Thái Nguyên,06/12/2023,Nhân viên,Dược,"OTC, Certified Medical Representative",https://www.vietnamworks.com/medical-representative-otc-consumer-health-products--1722383-jv?source=searchResults&searchType=2&placement=1722383&sortBy=date
Trình Dược Viên OTC - Hồ Chí Minh,Công Ty TNHH Dược Phẩm Gigamed,$400 - $600,Hồ Chí Minh,06/12/2023,Nhân viên,Dược,"Trình Dược Viên Kênh ETC, Giới Thiệu Sản Phẩm, Dược Phẩm, Quan Hệ Khách Hàng, Kế Hoạch Kinh Doanh",https://www.vietnamworks.com/trinh-duoc-vien-otc-ho-chi-minh-6--1722376-jv?source=searchResults&searchType=2&placement=1722376&sortBy=date
Nhân Viên Kinh Doanh Nguyên Liệu,Công Ty Cổ Phần Hóa Dược Quốc Tế Hà Nội,$700 - $1500,Hà Nội,08/12/2023,Mới Tốt Nghiệp,Dược,"Dược Phẩm, Chăm Sóc Khách Hàng, Kinh Doanh, Lập Kế Hoạch Kinh Doanh, Phát Triển Thị Trường",https://www.vietnamworks.com/nhan-vien-kinh-doanh-nguyen-lieu--1723071-jv?source=searchResults&searchType=2&placement=1723071&sortBy=date
"Trình Dược Viên Kênh ETC Phỏng Vấn 2023, Có Thể Đi Làm Sau Tết)",Công Ty Cổ Phần Dược Phẩm Vĩnh Phúc,Thương lượng,Thái Bình,08/12/2023,Nhân viên,Dược,"ETC, Trình Dược Viên Kênh ETC",https://www.vietnamworks.com/trinh-duoc-vien-kenh-etc-phong-van-2023-co-the-di-lam-sau-tet-1723321-jv?source=searchResults&searchType=2&placement=1723321&sortBy=date
Medical Representative - Hospital - Vaccine - Da Nang,Zuellig Pharma Viet Nam,Thương lượng,Đà Nẵng,08/12/2023,Nhân viên,Dược,"Trình Dược Viên Kênh ETC, Trình Dược ETC, Vaccination, Tiêm Phòng Vaccin, Tiêm Chủng",https://www.vietnamworks.com/medical-representative-hospital-vaccine-da-nang-1723090-jv?source=searchResults&searchType=2&placement=1723090&sortBy=date
Medical Representative - Hospital - Vaccine - Ha Noi,Zuellig Pharma Viet Nam,Thương lượng,Hà Nội,08/12/2023,Nhân viên,Dược,"Trình Dược Viên Kênh ETC, Trình Dược ETC, Vaccination, Tiêm Phòng Vaccin, Tiêm Chủng",https://www.vietnamworks.com/medical-representative-hospital-vaccine-ha-noi-1723088-jv?source=searchResults&searchType=2&placement=1723088&sortBy=date
Tuyển Gấp Trình Dược Viên (Không Yêu Cầu Kinh Nghiệm),Công Ty CP Dược Phẩm Medibest,Thương lượng,Hà Nội,08/12/2023,Mới Tốt Nghiệp,Dược,"Dược, Kinh Doanh, Kỹ Năng Bán Hàng, Dược Phẩm",https://www.vietnamworks.com/tuyen-gap-trinh-duoc-vien-khong-yeu-cau-kinh-nghiem-1723292-jv?source=searchResults&searchType=2&placement=1723292&sortBy=date
Nhân Viên Phát Triển Phương Pháp Phân Tích_Thời Vụ 12 Tháng - Nhà Máy Dược Abbott,Abbott,Thương lượng,Bình Dương,05/12/2023,Nhân viên,Dược,"Nghiên Cứu, QC, Quality Control, Pharmaceutical Healthcare, R&amp;D Formulation",https://www.vietnamworks.com/nhan-vien-phat-trien-phuong-phap-phan-tich-thoi-vu-12-thang-nha-may-duoc-abbott-1709148-jv?source=searchResults&searchType=2&placement=1709148&sortBy=date
Nhân Viên Kinh Doanh/ Trình Dược Viên Dược Mỹ Phẩm Thu Nhập Up to 50M+,Công Ty TNHH Thương Mại DMP Việt Pháp,$1000 - $2500,Hà Nội,08/12/2023,Nhân viên,Dược,"Y Dược, Kinh Doanh Dược Mỹ Phẩm, Trình Dược Viên Kênh ETC, Kinh Doanh, Tư Vấn Sản Phẩm",https://www.vietnamworks.com/nhan-vien-kinh-doanh-trinh-duoc-vien-duoc-my-pham-thu-nhap-up-to-50m--1723353-jv?source=searchResults&searchType=2&placement=1723353&sortBy=date
OTC Sales Representative/ Trình Dược Viên OTC,Công Ty TNHH Hankol Healthcare Vina,Thương lượng,Hồ Chí Minh,15/12/2023,Nhân viên,Dược,"Giao Tiếp, Bán Hàng, Dược Phẩm, Đàm Phán, Đẩy Mạnh Doanh Số",https://www.vietnamworks.com/otc-sales-representative-trinh-duoc-vien-otc-1725482-jv?source=searchResults&searchType=2&placement=1725482&sortBy=date
Giám Đốc/ Phó Giám Đốc Nhà Máy Sản Xuất,VietnamWorks' Client,Thương lượng,Hồ Chí Minh,24/11/2023,Giám Đốc và Cấp Cao Hơn,Dược,"Pharmaceuticals Industry, Pharmaceutical Manufacturing",https://www.vietnamworks.com/giam-doc-pho-giam-doc-nha-may-san-xuat--1718093-jv?source=searchResults&searchType=2&placement=1718093&sortBy=date
Giám Đốc Chi Nhánh,Công Ty Cổ Phần Dược Phẩm Cửu Long,$1 - $2,Cần Thơ,24/11/2023,Giám Đốc và Cấp Cao Hơn,Dược,"Tiếng Anh, Dược Phẩm, Pharmacy OTC, Bán Hàng, Kinh Doanh",https://www.vietnamworks.com/giam-doc-chi-nhanh--1718216-jv?source=searchResults&searchType=2&placement=1718216&sortBy=date
Quản Lý Kinh Doanh (DSM) Toàn Quốc,Công Ty Cổ Phần Dược Phẩm Boston Việt Nam,Thương lượng,Hà Nội,24/11/2023,Trưởng phòng,Dược,"DSM, Dược Phẩm, Phân Phối Dược Phẩm, Trình Dược OTC, Quản Lý ASM",https://www.vietnamworks.com/quan-ly-kinh-doanh-dsm-toan-quoc-1703927-jv?source=searchResults&searchType=2&placement=1703927&sortBy=date
Trình Dược Viên Kênh ETC - Ngành Hàng Dược Phẩm - Hà Nội,Abbott,Thương lượng,Hà Nội,04/12/2023,Nhân viên,Dược,"Trình Dược, Trình Dược Viên Kênh ETC, Trình Dược ETC, Dược Sĩ Đại Học, Bán Hàng",https://www.vietnamworks.com/trinh-duoc-vien-kenh-etc-nganh-hang-duoc-pham-ha-noi-1721710-jv?source=searchResults&searchType=2&placement=1721710&sortBy=date
Trình Dược Viên Kênh Bệnh Viện (ETC) - Ngành Hàng Dinh Dưỡng - Hà Nội,Abbott,Thương lượng,Hà Nội,04/12/2023,Nhân viên,Dược,"Trình Dược, Dược Sỹ Đại Học Dược, Dinh Dưỡng, Kinh Doanh, Bán Hàng",https://www.vietnamworks.com/trinh-duoc-vien-kenh-benh-vien-etc-nganh-hang-dinh-duong-ha-noi--1721701-jv?source=searchResults&searchType=2&placement=1721701&sortBy=date
Trình Dược Viên ETCUrgent job,Công Ty Cổ Phần Dược Phẩm Và Trang Tbyt Việt Đức,Thương lượng,Hà Nội,23/11/2023,Mới Tốt Nghiệp,Dược,"Trình Dược ETC, Trình Dược, Bán Hàng, Dược Phẩm, Dược",https://www.vietnamworks.com/trinh-duoc-vien-etc-41--1717814-jv?source=searchResults&searchType=2&placement=1717814&sortBy=date
Phó Giám Đốc Kinh Doanh Phụ Trách Kênh ETC Toàn Quốc (Ngành Dược Phẩm),VietnamWorks' Client,Thương lượng,Hồ Chí Minh,03/12/2023,Giám Đốc và Cấp Cao Hơn,Dược,"Quản Lý Khu Vực ETC, Pharmacy ETC, ETC",https://www.vietnamworks.com/pho-giam-doc-kinh-doanh-phu-trach-kenh-etc-toan-quoc-nganh-duoc-pham-1-1--1721407-jv?source=searchResults&searchType=2&placement=1721407&sortBy=date
Medical Representative - Hospital - Vaccine - Nghe An,Zuellig Pharma Viet Nam,Thương lượng,Nghệ An,22/11/2023,Nhân viên,Dược,"Trình Dược Viên Kênh ETC, Trình Dược ETC, Vaccination, Tiêm Phòng Vaccin, Tiêm Chủng",https://www.vietnamworks.com/medical-representative-hospital-vaccine-nghe-an-1717440-jv?source=searchResults&searchType=2&placement=1717440&sortBy=date
Medical Representative - Hospital - Vaccine - Binh Dinh,Zuellig Pharma Viet Nam,Thương lượng,Bình Định,22/11/2023,Nhân viên,Dược,"Trình Dược Viên Kênh ETC, Trình Dược ETC, Vaccination, Tiêm Phòng Vaccin, Tiêm Chủng",https://www.vietnamworks.com/medical-representative-hospital-vaccine-binh-dinh-1717420-jv?source=searchResults&searchType=2&placement=1717420&sortBy=date
Chuyên Viên Tư Vấn Sản Phẩm Kênh Bệnh Viện Tại Tiền GiangUrgent job,"R/O Hcp Healthcare Asia Pte., LTD.",Thương lượng,Tiền Giang,22/11/2023,Nhân viên,Dược,"Trình Dược Viên Kênh ETC, Sales Dược, Dược Phẩm, Tư Vấn Dược, Phát Triển Khách Hàng",https://www.vietnamworks.com/chuyen-vien-tu-van-san-pham-kenh-benh-vien-tai-tien-giang-1--1717379-jv?source=searchResults&searchType=2&placement=1717429&sortBy=date
District Field Force Manager (ETC & OTC) - Miền Trung & Tây Bắc,Abbott,Thương lượng,Phú Thọ,14/12/2023,Trưởng phòng,Dược,"District Sales Management, Trình Dược Viên Kênh ETC, OTC Channel, Pharmaceutical Healthcare",https://www.vietnamworks.com/district-field-force-manager-etc-otc-mien-trung-tay-bac-1725002-jv?source=searchResults&searchType=2&placement=1725052&sortBy=date
Solutions Manager - Radiology,Bayer Vietnam Limited (Bvl),Thương lượng,Hồ Chí Minh,13/12/2023,Trưởng phòng,Dược,"Radiology, Safety Xray Certificate, English, Marketing Acumen, Sales Revenue",https://www.vietnamworks.com/solutions-manager-radiology-1724855-jv?source=searchResults&searchType=2&placement=1724905&sortBy=date
Associate Trade Marketing Manager - Consumer Healthcare,Bayer Vietnam Limited (Bvl),Thương lượng,Hồ Chí Minh,13/12/2023,Trưởng phòng,Dược,"FMCG, Pharmacy",https://www.vietnamworks.com/associate-trade-marketing-manager-consumer-healthcare--1724854-jv?source=searchResults&searchType=2&placement=1724904&sortBy=date
Trình Dược Viên TP.HCM,Công Ty TNHH Dược Phẩm Nhất Anh,Thương lượng,Hồ Chí Minh,22/11/2023,Nhân viên,Dược,"Phát Triển Thị Trường, Bán Hàng, Tư Vấn, Giới Thiệu Sản Phẩm, Quan Hệ Khách Hàng",https://www.vietnamworks.com/trinh-duoc-vien-tp-hcm-10--1717133-jv?source=searchResults&searchType=2&placement=1717183&sortBy=date
Medical Representative ETC - Women Health,Bayer Vietnam Limited (Bvl),Thương lượng,Hồ Chí Minh,22/11/2023,Nhân viên,Dược,"English, IT Literacy, Communication, Performance Management System, Customer Engagement",https://www.vietnamworks.com/medical-representative-etc-women-health--1717218-jv?source=searchResults&searchType=2&placement=1717268&sortBy=date
Trình Dược Viên Kênh ETC,Công Ty TNHH Thương Mại Kiều Khánh MED,$400 - $1000,Quảng Ninh,21/11/2023,Nhân viên,Dược,"Trình Dược ETC, Trình Dược, Dược Phẩm, Bán Hàng, Phát Triển Thị Trường",https://www.vietnamworks.com/trinh-duoc-vien-kenh-etc-29-1--1716855-jv?source=searchResults&searchType=2&placement=1716905&sortBy=date
Trình Dược Viên Bệnh Viện - ETC,Công Ty Dược Phẩm Quốc Tế - UK Pharma,Thương lượng,Hà Nội,21/11/2023,Nhân viên,Dược,"Tư Vấn, Bán Hàng, Kinh Doanh Thuốc, Chăm Sóc Khách Hàng, Dược",https://www.vietnamworks.com/trinh-duoc-vien-benh-vien-etc-1702712-jv?source=searchResults&searchType=2&placement=1702762&sortBy=date
Medical Representative - Hospital - Vaccine - Khanh Hoa,Zuellig Pharma Viet Nam,Thương lượng,Khánh Hòa,22/11/2023,Nhân viên,Dược,"Certified Medical Representative, Vaccination, Hospital Channel",https://www.vietnamworks.com/medical-representative-hospital-vaccine-khanh-hoa-1717127-jv?source=searchResults&searchType=2&placement=1717177&sortBy=date
Quản Lý Bán Hàng Tây Bắc - ETCUrgent job,Công Ty Dược Phẩm Quốc Tế - UK Pharma,Thương lượng,Hà Nội,21/11/2023,Nhân viên,Dược,"Sales Dược, ETC, Kinh Doanh Thuốc, Theo Dõi Công Nợ, Dược Phẩm",https://www.vietnamworks.com/quan-ly-ban-hang-tay-bac-etc-1702710-jv?source=searchResults&searchType=2&placement=1702760&sortBy=date
Quản Lý Bán Hàng Hà Nội - ETC,Công Ty Dược Phẩm Quốc Tế - UK Pharma,Thương lượng,Hà Nội,21/11/2023,Trưởng phòng,Dược,"Kinh Doanh Thuốc, Quản Lý ETC, Dược Phẩm, Kinh Doanh, Bán Hàng",https://www.vietnamworks.com/quan-ly-ban-hang-ha-noi-etc-1702711-jv?source=searchResults&searchType=2&placement=1702761&sortBy=date
Kế Toán,Công Ty Cổ Phần Dược Và Thiết Bị Y Tế Lasopharm,$100 - $1000,Hồ Chí Minh,12/12/2023,Mới Tốt Nghiệp,Dược,"Tài Chính, Kế Toán Tổng Hợp, Kiểm Toán, Kế Toán, Hạch Toán",https://www.vietnamworks.com/ke-toan--1724360-jv?source=searchResults&searchType=2&placement=1724410&sortBy=date
