Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
Qu?n Lý Phát Tri?n S?n Ph?m Ti?n G?i,Ngân Hàng TNHH MTV Woori Vi?t Nam,$1500 - $2000,Hà N?i,11/12/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Bank Product, Product Development, Market Research, Corporate Banking, Cash Management",https://www.vietnamworks.com/quan-ly-phat-trien-san-pham-tien-gui--1712456-jv?source=searchResults&searchType=2&placement=1712456&sortBy=date
[Lotte Mall West Lake Hanoi] Social Media Marketing Assistant,"LOTTE Properties Hanoi Co., Ltd",Th??ng l??ng,Hà N?i,28/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Digital Marketing, Retail, Social Media Marketing, Social Media Campaign, Performance Marketing",https://www.vietnamworks.com/lotte-mall-west-lake-hanoi-social-media-marketing-assistant-1719129-jv?source=searchResults&searchType=2&placement=1719129&sortBy=date
"Chuyên Viên ??u T? và Phát Tri?n – Ph? Trách Nghiên C?u Th? Tr??ng, S?n Ph?m",Công Ty C? Ph?n T?p ?oàn Vinacontrol,Th??ng l??ng,Hà N?i,18/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Th? Tr??ng, Nghiên C?u Th? Tr??ng, Xúc Ti?n Th??ng M?i, Báo Cáo T?ng K?t, ?? Xu?t Ý T??ng",https://www.vietnamworks.com/chuyen-vien-dau-tu-va-phat-trien-phu-trach-nghien-cuu-thi-truong-san-pham-1726210-jv?source=searchResults&searchType=2&placement=1726210&sortBy=date
Tr??ng Nhóm Phát Tri?n Th? Tr??ng M?ng TM?T (Ti?ng Trung),Công Ty C? Ph?n T?p ?oàn Kita Group,$750 - $1100,H? Chí Minh,18/12/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Ti?ng Trung, Truy?n Thông, Báo Chí, Th??ng M?i ?i?n T?, Hàng Tiêu Dùng",https://www.vietnamworks.com/truong-nhom-phat-trien-thi-truong-mang-tmdt-tieng-trung-1726036-jv?source=searchResults&searchType=2&placement=1726036&sortBy=date
Social Commerce Specialist,Công Ty C? Ph?n Tara,Th??ng l??ng,H? Chí Minh,06/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Viral Marketing, Qu?n Lý Quan H? ??i Tác, Qu?n Lý Kols, Public Relation, KOL",https://www.vietnamworks.com/social-commerce-specialist-1722501-jv?source=searchResults&searchType=2&placement=1722501&sortBy=date
Retail Project Executive,Estee Lauder Vietnam,Th??ng l??ng,H? Chí Minh,06/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Project Management, Negotiation Skills, Time Management, Problem Solving Skill, Decision Making",https://www.vietnamworks.com/retail-project-executive-1722152-jv?source=searchResults&searchType=2&placement=1722152&sortBy=date
Market Research Executive (Nutrition Division),Abbott,Th??ng l??ng,H? Chí Minh,05/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Marketing Intelligence Analysis, Research, Business Intelligence Analysis, Research Projects",https://www.vietnamworks.com/market-research-executive-nutrition-division-1708172-jv?source=searchResults&searchType=2&placement=1708172&sortBy=date
International Marketing Manager,"Wanek Furniture CO., LTD.",$2000 - $3000,Bình D??ng,25/11/2023,Giám ??c và C?p Cao H?n,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Safety, Safety Training, EHS, EHS Management, Safety Technology",https://www.vietnamworks.com/international-marketing-manager-1718452-jv?source=searchResults&searchType=2&placement=1718452&sortBy=date
Strategic Planner Intern,Happiness Saigon,Th??ng l??ng,H? Chí Minh,15/12/2023,Th?c t?p sinh/Sinh viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","English Communications, Planning Marketing Strategy, Stragegic Planning, Creative Marketing",https://www.vietnamworks.com/strategic-planner-intern-1--1712659-jv?source=searchResults&searchType=2&placement=1712659&sortBy=date
"[Kt&g] Tobacco Market Research Freelancer - 1 Report/month (VN Nationality Only - Living In HN, DN, HCM)",Kt&G,$200 - $200,Hà N?i,15/12/2023,M?i T?t Nghi?p,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","English, Research, Field Collections",https://www.vietnamworks.com/kt-g-tobacco-market-research-freelancer-1-report-month-vn-nationality-only-living-in-hn-dn-hcm-1725458-jv?source=searchResults&searchType=2&placement=1725458&sortBy=date
Chuyên Viên Marketing,Công Ty TNHH C?ng Cà Phê,$600 - $820,Hà N?i,29/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Marketing Planning, F&amp;B, Qu?n Tr? Kinh Doanh, SEO, Truy?n Thông",https://www.vietnamworks.com/chuyen-vien-marketing--1707793-jv?source=searchResults&searchType=2&placement=1707793&sortBy=date
Performance Marketing Executive,Báo ?i?n T? VnExpress.Net,$700 - $1200,H? Chí Minh,13/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Digital Marketing, Analytic Skill, Analyze Data, Performance Marketing, Strategic Planning",https://www.vietnamworks.com/performance-marketing-executive--1724572-jv?source=searchResults&searchType=2&placement=1724572&sortBy=date
Inbound Marketing Specialist (Remote),Havi Technology,Th??ng l??ng,Qu?c t?,12/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","SEO, Marketing Analytics, Inbound Marketing, B2B Marketing, Communication",https://www.vietnamworks.com/inbound-marketing-specialist-remote-1711949-jv?source=searchResults&searchType=2&placement=1711949&sortBy=date
Tr??ng Phòng Nghiên C?u và Phát Tri?n,Tasco Joint Stock Company,Th??ng l??ng,Hà N?i,01/12/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Ngân Hàng ??u T?, Nghiên C?u, Phân Tích Th? Tr??ng",https://www.vietnamworks.com/truong-phong-nghien-cuu-va-phat-trien--1709340-jv?source=searchResults&searchType=2&placement=1709340&sortBy=date
[Hot Job] Copywriter,Công Ty TNHH Th??ng M?i Và Truy?n Thông Breathtaking Vi?t Nam,$500 - $700,Hà N?i,01/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Ý T??ng Sáng T?o, Sáng T?o N?i Dung, Copywriting, Content, Advertsing Agency",https://www.vietnamworks.com/hot-job-copywriter-1709659-jv?source=searchResults&searchType=2&placement=1709659&sortBy=date
Partnership Manager (??i Tác Gi?i Pháp Công Ngh?),Công Ty C? Ph?n Công Ngh? Sapo,$1000 - $1500,Hà N?i,20/11/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Partnership Development, Merchant Development, Marketing Planning",https://www.vietnamworks.com/partnership-manager-doi-tac-giai-phap-cong-nghe-1716492-jv?source=searchResults&searchType=2&placement=1716492&sortBy=date
Chuyên Viên Trade Marketing,"Cellphones - H? Th?ng Bán L? ?i?n Tho?i Di ??ng, Laptop Và Các S?n Ph?m Công Ngh? Toàn Qu?c",$415 - $625,H? Chí Minh,20/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Trade Marketing, FMCG, Retail",https://www.vietnamworks.com/chuyen-vien-trade-marketing--1716310-jv?source=searchResults&searchType=2&placement=1716310&sortBy=date
Associate Research Manager - QuantitativeHeadhunt jobs,Navigos Search'S Client,$1200 - $1700,H? Chí Minh,04/12/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Research, Quantitative Data, Project Reporting",https://www.vietnamworks.com/associate-research-manager-quantitative--1721763-jv?source=searchResults&searchType=2&placement=1721763&sortBy=date
[Retail] Copywriter Content Lead - Up to $1500Headhunt jobs,Navigos Search,$1000 - $1500,Hà N?i,30/11/2023,Tr??ng phòng,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Creative Design, Content Creating",https://www.vietnamworks.com/retail-copywriter-content-lead-up-to-1500-1721025-jv?source=searchResults&searchType=2&placement=1721025&sortBy=date
Senior Research Executive - Up to 30MHeadhunt jobs,Navigos Search'S Client,Th??ng l??ng,H? Chí Minh,30/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Quantitative Analysis, Market Research, English",https://www.vietnamworks.com/senior-research-executive-up-to-30m-1720768-jv?source=searchResults&searchType=2&placement=1720768&sortBy=date
Senior Market Analayst (Based In Hai Phong)Headhunt jobs,Navigos Search,$1000 - $1400,H?i Phòng,25/11/2023,Nhân viên,"Ti?p Th?, Qu?ng Cáo/Truy?n Thông","Market Research, Market Analysis, Market Insights, Real Estate Business, Data Analysis",https://www.vietnamworks.com/senior-market-analayst-based-in-hai-phong-1718463-jv?source=searchResults&searchType=2&placement=1718463&sortBy=date
Trình D??c Viên ETC Hàng Châu Âu Beeking Hà N?i và T?nh L?n,Công Ty TNHH Beeking,Th??ng l??ng,Hà N?i,30/11/2023,Nhân viên,D??c,"Trình D??c ETC, Pharmaceutical Healthcare, Phát Tri?n Khách Hàng, Phân Tích Th? Tr??ng, Trình D??c Viên Kênh ETC",https://www.vietnamworks.com/trinh-duoc-vien-etc-hang-chau-au-beeking-ha-noi-va-tinh-lon-1709280-jv?source=searchResults&searchType=2&placement=1709280&sortBy=date
Tuy?n G?p - Qu?n Lý Vùng - T?t Nghi?p Ngành D??c (Thu Nh?p T? 1500$ Tr? Lên),Công Ty C? Ph?n Anvy,$1500 - $2000,Hà N?i,27/11/2023,Tr??ng phòng,D??c,"Qu?n Lý Vùng, ETC, D??c, Qu?n Lý Trình D??c Viên",https://www.vietnamworks.com/tuyen-gap-quan-ly-vung-tot-nghiep-nganh-duoc-thu-nhap-tu-1500-tro-len--1708064-jv?source=searchResults&searchType=2&placement=1708064&sortBy=date
Trình D??c Viên OTC (Lào Cai - Hà Nam - Hà T?nh)Urgent job,Công Ty TNHH D??c Ph?m Hisamitsu Vi?t Nam,Th??ng l??ng,Hà Nam,22/11/2023,Nhân viên,D??c,"Bán Hàng, Gi?i Thi?u S?n Ph?m, Ch?m Sóc Khách Hàng, Quan H? Khách Hàng, T? V?n Khách Hàng",https://www.vietnamworks.com/trinh-duoc-vien-otc-lao-cai-ha-nam-ha-tinh--1717408-jv?source=searchResults&searchType=2&placement=1717408&sortBy=date
Trình D??c Viên OTC (Ninh Thu?n - Bình Thu?n - Khánh Hòa),Công Ty TNHH D??c Ph?m Hisamitsu Vi?t Nam,Th??ng l??ng,Bình Thu?n,15/12/2023,Nhân viên,D??c,"Trình D??c, Trình D??c OTC, Trình D??c Nhà Thu?c, Thu?c Tây, D??c",https://www.vietnamworks.com/trinh-duoc-vien-otc-ninh-thuan-binh-thuan-khanh-hoa-1713479-jv?source=searchResults&searchType=2&placement=1713479&sortBy=date
Trình D??c Viên OTC (??k L?k - Thái Nguyên),Công Ty TNHH D??c Ph?m Hisamitsu Vi?t Nam,Th??ng l??ng,??k L?k,15/12/2023,Nhân viên,D??c,"Trình D??c, Trình D??c OTC, D??c, Trình D??c Nhà Thu?c, Thu?c Tây",https://www.vietnamworks.com/trinh-duoc-vien-otc-dak-lak-thai-nguyen-1713478-jv?source=searchResults&searchType=2&placement=1713478&sortBy=date
Trình D??c Viên OTC (Hà N?i - H?i Phòng - ??ng Nai)Urgent job,Công Ty TNHH D??c Ph?m Hisamitsu Vi?t Nam,Th??ng l??ng,Hà N?i,22/11/2023,Nhân viên,D??c,"Bán Hàng, Trình D??c OTC, Gi?i Thi?u S?n Ph?m, T? V?n S?n Ph?m, Qu?n Tr? Kinh Doanh",https://www.vietnamworks.com/trinh-duoc-vien-otc-ha-noi-hai-phong-dong-nai--1717350-jv?source=searchResults&searchType=2&placement=1717350&sortBy=date
Trình D??c Viên OTC (Bình Ph??c - H? Chí Minh - C?n Th?),Công Ty TNHH D??c Ph?m Hisamitsu Vi?t Nam,Th??ng l??ng,Bình Ph??c,15/12/2023,Nhân viên,D??c,"Bán Hàng, Gi?i Thi?u S?n Ph?m, Ch?m Sóc Khách Hàng, D??c, Trình D??c OTC",https://www.vietnamworks.com/trinh-duoc-vien-otc-binh-phuoc-ho-chi-minh-can-tho-1713476-jv?source=searchResults&searchType=2&placement=1713476&sortBy=date
Trình D??c Viên OTC (H?i D??ng - Nam ??nh - H?ng Yên),Công Ty TNHH D??c Ph?m Hisamitsu Vi?t Nam,Th??ng l??ng,H?i D??ng,15/12/2023,Nhân viên,D??c,"Bán Hàng, Ch?m Sóc Khách Hàng, Quan H? Khách Hàng, D??c, Trình D??c OTC",https://www.vietnamworks.com/trinh-duoc-vien-otc-hai-duong-nam-dinh-hung-yen--1713473-jv?source=searchResults&searchType=2&placement=1713473&sortBy=date
Trình D??c Viên OTC (Qu?ng Ninh - Thanh Hóa - B?c Giang)Urgent job,Công Ty TNHH D??c Ph?m Hisamitsu Vi?t Nam,Th??ng l??ng,B?c Giang,23/11/2023,Nhân viên,D??c,"Bán Hàng, Trình D??c OTC, Gi?i Thi?u S?n Ph?m, D??c, Trình D??c",https://www.vietnamworks.com/trinh-duoc-vien-otc-quang-ninh-thanh-hoa-bac-giang--1717349-jv?source=searchResults&searchType=2&placement=1717349&sortBy=date
Tr??ng Pho?ng R&D Ngành D??cUrgent job,CTCP T?p ?oàn Ph??ng Hoàng Xanh A&A,$1200 - $1500,Hà N?i,27/11/2023,Tr??ng phòng,D??c,"R&amp;D D??c Ph?m, S?n Xu?t D??c, Ti?ng Anh",https://www.vietnamworks.com/truong-phong-r-d-nganh-duoc-1718526-jv?source=searchResults&searchType=2&placement=1718526&sortBy=date
Trình D??c Viên ETC,Công Ty C? Ph?n Gi?i Pháp Gene,Th??ng l??ng,Ti?n Giang,18/12/2023,Nhân viên,D??c,"Bán Hàng, Phát Tri?n Khách Hàng, Phát Tri?n Kinh Doanh, Quan H? Khách Hàng, ETC",https://www.vietnamworks.com/trinh-duoc-vien-etc--1726127-jv?source=searchResults&searchType=2&placement=1726127&sortBy=date
Tr??ng Nhóm ETC,Công Ty C? Ph?n Gi?i Pháp Gene,Th??ng l??ng,?BSCL,18/12/2023,Nhân viên,D??c,"Kênh ETC, Kinh Doanh D??c M? Ph?m, Tìm Ki?m Khách Hàng, Qu?n Lý Kinh Doanh, Pharmacy ETC",https://www.vietnamworks.com/truong-nhom-etc--1726041-jv?source=searchResults&searchType=2&placement=1726041&sortBy=date
"Chuyên Viên Kinh Doanh Xu?t Kh?u (?u Tiên TDV Kinh Nghi?m 1 N?m, Ti?ng Anh T?t)",Công Ty C? Ph?n D??c Ph?m V?nh Phúc,Th??ng l??ng,Hà N?i,06/12/2023,Nhân viên,D??c,"Xu?t Nh?p Kh?u, Trình D??c Viên Kênh ETC",https://www.vietnamworks.com/chuyen-vien-kinh-doanh-xuat-khau-uu-tien-tdv-kinh-nghiem-1-nam-tieng-anh-tot-1722421-jv?source=searchResults&searchType=2&placement=1722421&sortBy=date
Product Manager (PM - T?t Nghi?p ??i H?c D??c Hà N?i) ETC,Công Ty C? Ph?n D??c Ph?m Thiên Th?o,$800 - $1000,Hà N?i,04/12/2023,Nhân viên,D??c,"R&amp;D D??c Ph?m, Nghiên C?u S?n Ph?m, Phát Tri?n S?n Ph?m, ??ng Ký Thu?c, Marketing D??c Ph?m",https://www.vietnamworks.com/product-manager-pm-tot-nghiep-dai-hoc-duoc-ha-noi-etc--1721676-jv?source=searchResults&searchType=2&placement=1721676&sortBy=date
Nhân Viên Ph? Trách Bán Hàng,Công Ty C? Ph?n Villamed,Th??ng l??ng,H? Chí Minh,24/11/2023,Nhân viên,D??c,Trình D??c ETC,https://www.vietnamworks.com/nhan-vien-phu-trach-ban-hang-1718359-jv?source=searchResults&searchType=2&placement=1718359&sortBy=date
Tr??ng Ca X??ng Thu?c Tiêm,Công Ty C? Ph?n D??c Ph?m V?nh Phúc,Th??ng l??ng,V?nh Phúc,08/12/2023,Tr??ng phòng,D??c,D??c Ph?m,https://www.vietnamworks.com/truong-ca-xuong-thuoc-tiem-1723128-jv?source=searchResults&searchType=2&placement=1723128&sortBy=date
Qu?n Lý Trình D??c Viên Kênh Y T? Ngành Dinh D??ng (District Manager),Công Ty TNHH Th??ng M?i V?n An,$1900 - $2400,H? Chí Minh,05/12/2023,Nhân viên,D??c,"Qu?n Lý Trình D??c Viên, Y D??c, Dinh D??ng, D??c Ph?m, ?ào T?o Tuy?n D?ng",https://www.vietnamworks.com/quan-ly-trinh-duoc-vien-kenh-y-te-nganh-dinh-duong-district-manager-1721967-jv?source=searchResults&searchType=2&placement=1721967&sortBy=date
Phó G? Kinh Doanh M?ng Xét Nghi?m (Thu Nh?p T? 45 Tri?u ++) - Ph?ng V?n Tr??c và ?i Làm Sau T?t,Công Ty CP Công Ngh? Lavitec,$1840 - $2000,Hà N?i,05/12/2023,Tr??ng phòng,D??c,"Qu?n Lý Vùng, Qu?n Lý ETC, D??c Ph?m, Qu?n Lý Bán Hàng, L?p K? Ho?ch Kinh Doanh",https://www.vietnamworks.com/pho-gd-kinh-doanh-mang-xet-nghiem-thu-nhap-tu-45-trieu-phong-van-truoc-va-di-lam-sau-tet-1721856-jv?source=searchResults&searchType=2&placement=1721856&sortBy=date
Qu?n Lý Nhãn (Thu Nh?p T? 20 - 30 Tri?u++) - Ph?ng V?n Tr??c và ?i Làm Sau T?t,Công Ty CP Công Ngh? Lavitec,$800 - $1300,Hà N?i,05/12/2023,Tr??ng phòng,D??c,"Qu?n Lý Vùng, Qu?n Lý ETC, D??c Ph?m, Qu?n Lý Bán Hàng, L?p K? Ho?ch Kinh Doanh",https://www.vietnamworks.com/quan-ly-nhan-thu-nhap-tu-20-30-trieu-phong-van-truoc-va-di-lam-sau-tet-1721859-jv?source=searchResults&searchType=2&placement=1721859&sortBy=date
Business Unit Head - Otx Division,VP?D Lupin Limited T?i TP. HCM,Th??ng l??ng,H? Chí Minh,01/12/2023,Tr??ng phòng,D??c,"Business Management, Sales Force Development, OTC Channel, Reporting, Budget Control",https://www.vietnamworks.com/business-unit-head-otx-division-1721228-jv?source=searchResults&searchType=2&placement=1721228&sortBy=date
"Trình D??c Viên Kênh Nhà Thu?c, Phòng M?ch, Phòng Khám Khu V?c ??ng B?ng Sông C?u Long, Mi?n Trung",V?n Phòng ??i Diên Hetero Labs Limited T?i Tp H? Chí Minh,$400 - $600,?à N?ng,24/11/2023,Nhân viên,D??c,"Trình D??c Nhà Thu?c, D??c, Qu?n Lý Bán Hàng, Gi?i Thi?u S?n Ph?m, Trình D??c",https://www.vietnamworks.com/trinh-duoc-vien-kenh-nha-thuoc-phong-mach-phong-kham-khu-vuc-dong-bang-song-cuu-long-mien-trung-1-1704737-jv?source=searchResults&searchType=2&placement=1704737&sortBy=date
Trình D??c Viên ETC (Không Yêu C?u Kinh Nghi?m - Thu Nh?p T? 10- 20 Tri?u),Công Ty C? Ph?n Anvy,$400 - $800,Hà N?i,13/12/2023,M?i T?t Nghi?p,D??c,"Trình D??c Viên Kênh ETC, Kinh Doanh, Bán L? Thu?c, Bán Hàng",https://www.vietnamworks.com/trinh-duoc-vien-etc-khong-yeu-cau-kinh-nghiem-thu-nhap-tu-10-20-trieu-1724491-jv?source=searchResults&searchType=2&placement=1724491&sortBy=date
Tr? Lý Giám ??c Ngành D??c (L??ng 20 Tri?u)Urgent job,Công Ty C? Ph?n D??c Ph?m Lv PHARMA,T? $800,H? Chí Minh,12/12/2023,Nhân viên,D??c,"Trình D??c ETC, T? Ch?c H?i Th?o, Phát Tri?n Th? Tr??ng, Ch?m Sóc Khách Hàng, Trình D??c Nhà Thu?c",https://www.vietnamworks.com/tro-ly-giam-doc-nganh-duoc-luong-20-trieu-1724153-jv?source=searchResults&searchType=2&placement=1724153&sortBy=date
Nhân Viên ??ng Ký Gi?y Phép Nh?p Kh?u,Công Ty C? Ph?n Thiên Tr??ng,Th??ng l??ng,Hà N?i,29/11/2023,Nhân viên,D??c,"Thi?t B? V?t T? Y T?, D? Án Thi?t B? Y T?, Làm H? S? Th?u, ??ng Ký L?u Hành Thu?c, Làm H? S? ??ng Ký Thu?c",https://www.vietnamworks.com/nhan-vien-dang-ky-giay-phep-nhap-khau-1719920-jv?source=searchResults&searchType=2&placement=1719920&sortBy=date
Nhân Viên D? ÁnUrgent job,Công Ty C? Ph?n Thiên Tr??ng,Th??ng l??ng,Hà N?i,28/11/2023,Nhân viên,D??c,"H? S? D? Th?u, Thi?t B? V?t T? Y T?, D? Án Thi?t B? Y T?, D? Án, Làm H? S? Th?u",https://www.vietnamworks.com/nhan-vien-du-an--1719113-jv?source=searchResults&searchType=2&placement=1719113&sortBy=date
"Formulation, API, Vapi Regulatory Affairs (RA)","Salubris Pharmaceuticals Co., Ltd",Th??ng l??ng,H? Chí Minh,18/12/2023,M?i T?t Nghi?p,D??c,"Pharmacy, Project Management, English, Pharmacy Medicine, Pharmaceutical Ingredients",https://www.vietnamworks.com/formulation-api-vapi-regulatory-affairs-ra-1725944-jv?source=searchResults&searchType=2&placement=1725944&sortBy=date
"Nhân Viên Th?u, Bán Hàng B?nh Vi?n",Công Ty C? Ph?n D??c Ph?m Thi?t B? Y T? Hà N?i - Hapharco,Th??ng l??ng,Hà N?i,04/12/2023,Nhân viên,D??c,"D??c S? ??i H?c D??c, D??c Ph?m, Bán Hàng, Y T?, Kinh Doanh",https://www.vietnamworks.com/nhan-vien-thau-ban-hang-benh-vien--1721645-jv?source=searchResults&searchType=2&placement=1721645&sortBy=date
Trình D??c Viên ETC Ti?n Giang,Công Ty TNHH D??c Ph?m Gigamed,Th??ng l??ng,Ti?n Giang,18/12/2023,Nhân viên,D??c,"Pharmacy, D??c, Trình D??c Viên Kênh ETC, Trình D??c Nhà Thu?c, T? V?n S?n Ph?m",https://www.vietnamworks.com/trinh-duoc-vien-etc-tien-giang--1726086-jv?source=searchResults&searchType=2&placement=1726086&sortBy=date
[Tuy?n G?p] Trình D??c Viên ETC,Công Ty C? Ph?n D??c Ph?m Sao Y,Th??ng l??ng,Hà N?i,07/12/2023,Nhân viên,D??c,"Trình D??c Viên Kênh ETC, Kinh Doanh, D??c, Ch?m Sóc Khách Hàng, DSM",https://www.vietnamworks.com/tuyen-gap-trinh-duoc-vien-etc--1722613-jv?source=searchResults&searchType=2&placement=1722613&sortBy=date
Trình D??c Viên TP.HCM (Không Yêu C?u Kinh Nghi?m),Công Ty TNHH D??c Ph?m Accord,$300 - $1000,H? Chí Minh,27/11/2023,Nhân viên,D??c,"Trình D??c, D??c Ph?m, Y D??c, Marketing Sales, T? V?n S?n Ph?m",https://www.vietnamworks.com/trinh-duoc-vien-tp-hcm-khong-yeu-cau-kinh-nghiem-1--1718722-jv?source=searchResults&searchType=2&placement=1718722&sortBy=date
Key Account Manager - Pharmacy (Client Management),Zuellig Pharma Viet Nam,Th??ng l??ng,H? Chí Minh,07/12/2023,Nhân viên,D??c,"Pharmacy OTC, Key Account Relationship Building, Key Account Development, Client Business Analysis, Customer Account",https://www.vietnamworks.com/key-account-manager-pharmacy-client-management-1722597-jv?source=searchResults&searchType=2&placement=1722597&sortBy=date
Medical Representative - OTC - Consumer Health Products,Bayer Vietnam Limited (Bvl),Th??ng l??ng,Thái Nguyên,06/12/2023,Nhân viên,D??c,"OTC, Certified Medical Representative",https://www.vietnamworks.com/medical-representative-otc-consumer-health-products--1722383-jv?source=searchResults&searchType=2&placement=1722383&sortBy=date
Trình D??c Viên OTC - H? Chí Minh,Công Ty TNHH D??c Ph?m Gigamed,$400 - $600,H? Chí Minh,06/12/2023,Nhân viên,D??c,"Trình D??c Viên Kênh ETC, Gi?i Thi?u S?n Ph?m, D??c Ph?m, Quan H? Khách Hàng, K? Ho?ch Kinh Doanh",https://www.vietnamworks.com/trinh-duoc-vien-otc-ho-chi-minh-6--1722376-jv?source=searchResults&searchType=2&placement=1722376&sortBy=date
