Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Nhân Viên Digital Marketing,Công Ty Cổ Phần Dược Phẩm Thái Minh,Thương lượng,Hà Nội,21/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Ads Campaign, Marketing Planning, Xây Dựng Nội Dung, Chiến Dịch Truyền Thông",https://www.vietnamworks.com/nhan-vien-digital-marketing--1716863-jv?source=searchResults&searchType=2&placement=1716863&sortBy=date
Social Media ManagerUrgent job,Chi Communications,Thương lượng,Hồ Chí Minh,28/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Media, PR Communication, Advertisement Management, Facebook Ads, Content Creating",https://www.vietnamworks.com/social-media-manager--1719427-jv?source=searchResults&searchType=2&placement=1719427&sortBy=date
Campaign Manager - Business Analyst,United Overseas Bank (Vietnam) Limited (UOB Vietnam),Thương lượng,Hồ Chí Minh,12/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Campaign Management, Business Analysis, Credit Card Analytics, Personal Loans",https://www.vietnamworks.com/campaign-manager-business-analyst-1724142-jv?source=searchResults&searchType=2&placement=1724142&sortBy=date
Chuyên Viên Digital Marketing,Công Ty Cổ Phần Y Tế Ishii,$650 - $1100,Hồ Chí Minh,21/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Content Marketing, SEO, SEM, Editing Video",https://www.vietnamworks.com/chuyen-vien-digital-marketing--1717050-jv?source=searchResults&searchType=2&placement=1717050&sortBy=date
Chuyên Viên Marketing - Digital/ Performance/ Content/ Design/ MKT Triển Khai,GSM,$800 - $1100,Hà Nội,11/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Trực Tuyến, Content, Design, Digital Marketing Performance, Quản Trị Nội Dung Website",https://www.vietnamworks.com/chuyen-vien-marketing-digital-performance-content-design-mkt-trien-khai-1723734-jv?source=searchResults&searchType=2&placement=1723734&sortBy=date
Associate Performance Marketing Manager,Traveloka - Successful Startup,Thương lượng,Hồ Chí Minh,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Search Engine Marketing, Paid ADS, Google Ads Display, Facebook Ads, Paid Search Campaigns",https://www.vietnamworks.com/associate-performance-marketing-manager-1721033-jv?source=searchResults&searchType=2&placement=1721033&sortBy=date
Media Marketing ExecutiveUrgent job,Công Ty TNHH Một Thành Viên Soul Retreats,$500 - $700,Hồ Chí Minh,20/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Insights Analytic, Marketing Campaign, Marketing Planning, Viết Nội Dung Quảng Cáo, Ý Tưởng Sáng Tạo",https://www.vietnamworks.com/media-marketing-executive--1716397-jv?source=searchResults&searchType=2&placement=1716397&sortBy=date
Chuyên Viên Hiệu Suất Marketing (Peformance Digital Marketing Speacialist),Công Ty Cổ Phần Thương Mại Calen,$1000 - $1500,Hồ Chí Minh,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Data Analysis, Content Marketing, Performance Marketing, SEO",https://www.vietnamworks.com/chuyen-vien-hieu-suat-marketing-peformance-digital-marketing-speacialist-1720656-jv?source=searchResults&searchType=2&placement=1720656&sortBy=date
Chuyên Viên Digital Marketing (20 - 25 Triệu),Công Ty Cổ Phần Anvy,$700 - $1000,Hà Nội,28/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Social Media, SEO, Google Ads, Digital Marketing, Landing Page",https://www.vietnamworks.com/chuyen-vien-digital-marketing-20-25-trieu--1719253-jv?source=searchResults&searchType=2&placement=1719253&sortBy=date
Digital MarketingUrgent job,Công Ty TNHH Wellness Lifestyle,Thương lượng,Hà Nội,28/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Social Media, Digital Marketing, Online Marketing, SEO, Google Ads",https://www.vietnamworks.com/digital-marketing--1719408-jv?source=searchResults&searchType=2&placement=1719408&sortBy=date
[Remote] Thực Tập Sinh SEO (Tiếng Anh),Công Ty TNHH Timind,$123 - $205,Hà Nội,18/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Onpage SEO, Offpage SEO, Content SEO, Tiếng Anh, Nghiên Cứu Từ Khóa",https://www.vietnamworks.com/remote-thuc-tap-sinh-seo-tieng-anh--1726311-jv?source=searchResults&searchType=2&placement=1726311&sortBy=date
Junior Digital Content Analyst (Fluent In English),Công Ty Cổ Phần Estuary,Thương lượng,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Content Marketing, English, Google Analytics, Digital Content Development, Content Management",https://www.vietnamworks.com/junior-digital-content-analyst-fluent-in-english-1716100-jv?source=searchResults&searchType=2&placement=1716100&sortBy=date
Manager Digital Marketing,British University Vietnam (Buv),Thương lượng,Hà Nội,18/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Advertising, SEO, Branding Campaign, Digital Content Marketing, Analytics Tools",https://www.vietnamworks.com/manager-digital-marketing--1726280-jv?source=searchResults&searchType=2&placement=1726280&sortBy=date
Digital Planner Manager,Công Ty TNHH Adtek Technology,Thương lượng,Hồ Chí Minh,18/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Media Planning, Advertising Optimization, Display Network Ads, Campaign Management, Campaign Strategy Development",https://www.vietnamworks.com/digital-planner-manager-1716134-jv?source=searchResults&searchType=2&placement=1716134&sortBy=date
Digital Marketing Manager,Công Ty TNHH Adtek Technology,Thương lượng,Hồ Chí Minh,18/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Digital Advertising, Optimize Performance, Media Planning, Social Network Development",https://www.vietnamworks.com/digital-marketing-manager--1716132-jv?source=searchResults&searchType=2&placement=1716132&sortBy=date
Digital Marketing,Công Ty TNHH Uniktech,$500 - $700,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Truyền Thông Quảng Cáo, Xây Dựng Nội Dung, Sáng Tạo Nội Dung, Chiến Dịch Truyền Thông",https://www.vietnamworks.com/digital-marketing--1726184-jv?source=searchResults&searchType=2&placement=1726184&sortBy=date
Nhân Viên Digital MarketingUrgent job,Công Ty TNHH Viện Công Nghệ Cao Medinutri,$500 - $1000,Hà Nội,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Quảng Cáo Adwords, Google Ads Planner, Facebook Advertising, Promotion Campaign, Social Network Media",https://www.vietnamworks.com/nhan-vien-digital-marketing-313--1707131-jv?source=searchResults&searchType=2&placement=1707131&sortBy=date
Nhân Viên Livestream Bán Hàng,Công Ty TNHH Truyền Thông Live Channel,$300 - $450,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Livestream Bán Hàng, Social, Tư Vấn Mua Hàng, Thương Mại Điện Tử, Sáng Tạo Nội Dung",https://www.vietnamworks.com/nhan-vien-livestream-ban-hang--1724689-jv?source=searchResults&searchType=2&placement=1724739&sortBy=date
Nhân Viên Digital MarketingUrgent job,Princess Beauty,$400 - $800,Hồ Chí Minh,07/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Social Media, Digital Marketing, Ads, Quảng Cáo, Phát Triển Thương Mại Điện Tử",https://www.vietnamworks.com/nhan-vien-digital-marketing--1722871-jv?source=searchResults&searchType=2&placement=1722921&sortBy=date
Digital Marketing Intern,TNHH Nos Digital,Thương lượng,Hồ Chí Minh,07/12/2023,Thực tập sinh/Sinh viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Tối Ưu Hóa SEO, Online Marketing, SEO Planning, Market Planning",https://www.vietnamworks.com/digital-marketing-intern--1722760-jv?source=searchResults&searchType=2&placement=1722810&sortBy=date
Senior Digital Manager,Công Ty Cổ Phần Datviet Vac Group Holdings,Thương lượng,Hồ Chí Minh,07/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Chiến Dịch Truyền Thông, Digital Marketing, Truyền Thông Quảng Cáo, Giám Sát Điều Hành, Nghiên Cứu Thị Trường",https://www.vietnamworks.com/senior-digital-manager--1722966-jv?source=searchResults&searchType=2&placement=1723016&sortBy=date
Chuyên Viên Digital Marketing,Công Ty Cổ Phần Đầu Tư Phát Triển Giáo Dục Vtce,$600 - $700,Hồ Chí Minh,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Social Media, SEO, Google Ads, Marketing Channel, Digital Marketing",https://www.vietnamworks.com/chuyen-vien-digital-marketing--1698792-jv?source=searchResults&searchType=2&placement=1698842&sortBy=date
Sales Online Executive,"LG VINA Cosmetics Co., Ltd",Thương lượng,Hồ Chí Minh,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Sale Online, E-commerce",https://www.vietnamworks.com/sales-online-executive--1718839-jv?source=searchResults&searchType=2&placement=1718889&sortBy=date
Marketing Executive,Hoang An Nhien Group,Thương lượng,Hồ Chí Minh,07/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Online Marketing, Social Media, Planning Marketing Strategy, Event, Digital Marketing",https://www.vietnamworks.com/marketing-executive--1721991-jv?source=searchResults&searchType=2&placement=1722041&sortBy=date
Admin Website,"Cellphones - Hệ Thống Bán Lẻ Điện Thoại Di Động, Laptop Và Các Sản Phẩm Công Nghệ Toàn Quốc",$415 - $620,Hồ Chí Minh,07/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Admin Website, Quản Trị Nội Dung Website, Google Analytics, UI/UX, Quản Lý Web",https://www.vietnamworks.com/admin-website--1722379-jv?source=searchResults&searchType=2&placement=1722429&sortBy=date
Marketing Manager,Công Ty Cổ Phần Dịch Vụ Di Động Trực Tuyến (Ví MoMo),Thương lượng,Hồ Chí Minh,07/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Brand Communication, Marketing Planning, Marketing Campaign",https://www.vietnamworks.com/marketing-manager--1722733-jv?source=searchResults&searchType=2&placement=1722783&sortBy=date
Google Ads (Dưới 1 Năm Kinh Nghiệm),Công Ty TNHH Đầu Tư Nam Thuận Phát,$500 - $600,Hà Nội,07/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Development, Marketing Trực Tuyến, Google Ads, Digital Marketing, Quảng Cáo",https://www.vietnamworks.com/google-ads-duoi-1-nam-kinh-nghiem-1722078-jv?source=searchResults&searchType=2&placement=1722128&sortBy=date
Chuyên Viên Digital Marketing Đi Làm Ngay,Công Ty Cổ Phần Đầu Tư Phát Triển Bất Động Sản Kabisland,$300 - $400,Hồ Chí Minh,07/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Social Media, Online Marketing, Digital Marketing, Performance Marketing",https://www.vietnamworks.com/chuyen-vien-digital-marketing-di-lam-ngay-1722568-jv?source=searchResults&searchType=2&placement=1722618&sortBy=date
"[HN, HCM] Giám Đốc Marketing (Sàn Thương Mại Điện Tử B2B)",Công Ty Cổ Phần Đầu Tư Và Công Nghệ Vela,$3500 - $5000,Hồ Chí Minh,18/12/2023,Giám Đốc và Cấp Cao Hơn,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Strategy, Nghiên Cứu Thị Trường, Data Analyst, B2B Marketing, Quản Lý Ngân Sách",https://www.vietnamworks.com/hn-hcm-giam-doc-marketing-san-thuong-mai-dien-tu-b2b--1726047-jv?source=searchResults&searchType=2&placement=1726097&sortBy=date
B2B Marketing Manager,Pmax - Total Performance Marketing Company,Thương lượng,Hồ Chí Minh,18/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","B2B Marketing, Digital Marketing, Brand Planning",https://www.vietnamworks.com/b2b-marketing-manager--1726103-jv?source=searchResults&searchType=2&placement=1726153&sortBy=date
Chuyên Viên Digital Marketing - Upto 30 Triệu/tháng,Công Ty TNHH Bibabo,$600 - $1300,Hà Nội,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Tiktok Ads, Google Ads, Facebook Ads",https://www.vietnamworks.com/chuyen-vien-digital-marketing-upto-30-trieu-thang-1715778-jv?source=searchResults&searchType=2&placement=1715828&sortBy=date
Livestream Coordinator cum Project Assistant,Abbott,Thương lượng,Hồ Chí Minh,06/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Project Schedule Management, Livestream, Project Timeline, Management Service, Administration Support",https://www.vietnamworks.com/livestream-coordinator-cum-project-assistant-1722162-jv?source=searchResults&searchType=2&placement=1722212&sortBy=date
Nhân Viên Marketing Online,Công Ty Cổ Phần Chế Tạo Điện Cơ Hà Nội,Thương lượng,Hà Nội,06/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Biên Tập Nội Dung, Phát Triển Mạng Xã Hội, Social Media Networks, Content Marketing, Thiết Kế Đồ Họa",https://www.vietnamworks.com/nhan-vien-marketing-online--1722400-jv?source=searchResults&searchType=2&placement=1722450&sortBy=date
Digital Marketing,"Macscologistics Co.,Ltd",Thương lượng,Hồ Chí Minh,05/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Tiếng Anh, Marketing Online, Giải Quyết Vấn Đề, Kế Hoạch Kinh Doanh, Xây Dựng Thương Hiệu",https://www.vietnamworks.com/digital-marketing--1721883-jv?source=searchResults&searchType=2&placement=1721933&sortBy=date
Project Manager (Digital Marketing)Urgent job,Servier (Vietnam) Pharmaceutical Company,Thương lượng,Hồ Chí Minh,08/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Pharmaceutical Industry, Patient Care, Project Management, Public Health",https://www.vietnamworks.com/project-manager-digital-marketing-1723462-jv?source=searchResults&searchType=2&placement=1723512&sortBy=date
