Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kinh nghiệm,Hình thức,Yêu cầu,Số lượng,Link
"Nhân Viên Kinh Doanh Bán Hàng - Thu Nhập Lến Đến 20tr, Yêu Cầu Kinh Nghiệm",CÔNG TY CỔ PHẦN ĐUA XE CÔNG THỨC VIỆT NAM,7 - 20 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 05/01/2024,Nhân viên,Kinh doanh / Bán hàngDịch vụ khách hàngMarketing / Truyền thông / Quảng cáo,1 năm,Toàn thời gian,"Độ tuổi: Từ 1990 trở lên -Tốt nghiệp Cao Đẳng/ Đại Học trở lên, làm việc toàn thời gian-Tối thiểu 01 năm kinh nghiệm vị trí Nhân viên kinh doanh trở lên-Đam mê kinh doanh-Nhanh nhẹn, có trách nhiệm, cẩn thận với công việc-Ngoại hình dễ nhìn, không nói ngọng, nói lắp-Thái độ ham học hỏi, cầu tiến-Khả năng giao tiếp, đàm phán, thuyết phục tốt.- Kỹ năng phân tích, giải quyết vấn đề tốt- Chấp nhận công việc áp lực cao.",1 người,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-ban-hang-thu-nhap-len-den-20tr-yeu-cau-kinh-nghiem/1173182.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
Nhân Viên Tư Vấn Website - Không Yêu Cầu Kinh Nghiệm,Công ty TNHH Truyền Thông và Quảng Cáo Siêu Kinh Doanh,7 - 15 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 11/01/2024,Nhân viên,Kinh doanh / Bán hàngMarketing / Truyền thông / Quảng cáoTư vấn,Không yêu cầu kinh nghiệm,Toàn thời gian,"- Độ tuổi: 22 - 28 tuổi- Không yêu cầu kinh nghiệm, được đào tạo 100%.- Có khả năng giao tiếp rõ ràng và sử dụng máy tính cơ bản.- Có tinh thần làm việc nhóm.- Tuân thủ giờ giấc nề nếp tại nơi làm việc. Tác phong lịch sự và cư xử văn minh hòa đồng.",8 người,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-website-khong-yeu-cau-kinh-nghiem/971180.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
SEO Manager Thu Nhập 20-50M Đi Làm Ngay,Công ty Cổ phần Công Nghệ ONUS LABS,20 - 50 triệu,Hà Nội,Hạn nộp hồ sơ: 08/01/2024,Trưởng/Phó phòng,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáoNgân hàng / Tài chính,3 năm,Toàn thời gian,"- Strong understanding of on-page, off-page, and technical SEO principles and techniques.- Have successfully implemented at least one project with a minimum of 200,000 visits per month in traffic- Proficiency in SEO tools (e.g., Google Analytics, SEMrush, Ahrefs) and the ability to extract and interpret data effectively.- Excellent problem-solving skills and the ability to develop creative solutions to overcome ranking issues.",1 người,https://www.topcv.vn/viec-lam/seo-manager-thu-nhap-20-50m-di-lam-ngay/1192618.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
Trưởng Phòng Kinh Doanh Nội Thất,CÔNG TY TNHH THƯƠNG MẠI ĐẦU TƯ XÂY DỰNG GIA MINH,"Trên 1,500 USD",Hồ Chí Minh,Hạn nộp hồ sơ: 15/01/2024,Nhân viên,Kinh doanh / Bán hàngMarketing / Truyền thông / Quảng cáoThiết kế nội thất,3 năm,Toàn thời gian,"Giới tính: Nam/NữĐộ tuổi >35 tuổiTác phong:  Chỉnh chuTốt nghiệp Đại HọcTrình độ ngoại ngữ:  Giao tiếp tốt bằng tiếng AnhTrình độ tin học:  Thông thạo vi tính văn phòngKinh nghiệm: Từ 05 năm (Tối thiểu kinh nghiệm 3 năm tại vị trí tương đương)Kỹ năng - Kỹ năng tư vấn, nắm bắt được nhu cầu cho khách hàngYêu cầu khác Ưu tiên có kinh nghiệm trong ngành nội thất cao cấp, tủ bếp và tủ quần áo cao cấp: tối thiểu 03 năm",1 người,https://www.topcv.vn/viec-lam/truong-phong-kinh-doanh-noi-that/1196607.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
"Nhân Viên Kinh Doanh Nguồn Hàng Trung Quốc Shopee, Lazada (Thu Nhập 10 - 35 Triệu)",CÔNG TY TNHH ALI LOGISTICS VIỆT NAM,10 - 35 triệu,Hà Nội,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Kinh doanh / Bán hàngMarketing / Truyền thông / Quảng cáoBán lẻ / bán sỉ,Không yêu cầu kinh nghiệm,Toàn thời gian,"- Không yêu cầu kinh nghiệm (sẽ được đào tạo khi làm việc)- Có đam mê Kinh doanh, kiếm thu nhập- Có tinh thần cầu tiến, chăm chỉ, chủ động và có ý thức trách nhiệm trong công việc,- Không Yêu Cầu Tiếng Trung",6 người,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-nguon-hang-trung-quoc-shopee-lazada-thu-nhap-10-35-trieu/1189881.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
Middle/Senior UI/UX Designer,CÔNG TY CỔ PHẦN SYSTEMATIC FUNCTIONS,15 - 25 triệu,Hà Nội,Hạn nộp hồ sơ: 13/01/2024,Nhân viên,IT phần mềmMarketing / Truyền thông / Quảng cáoViệc làm IT,4 năm,Toàn thời gian," ● Có kinh nghiệm làm việc trong lĩnh vực thiết kế giao diện người dùng và trải nghiệm người dùng. ● Sử dụng thành thạo các công cụ thiết kế như Figma. Đã sử dụng Sketch, Adobe XD, Figma, hoặc Illustrator là lợi thế. ● Hiểu biết về nguyên tắc thiết kế tương tác và đáp ứng. ● Hiểu biết về Material Design là lợi thế. ● Khả năng làm việc hiệu quả trong môi trường đa chức năng và làm việc nhóm. ● Có kiến thức về quy trình phát triển phần mềm (Agile, Scrum) là lợi thế. ● Có kỹ năng giao tiếp hiệu quả, làm việc nhóm. ● Có khả năng đóng góp, xây dựng sản phẩm. ",1 người,https://www.topcv.vn/viec-lam/middle-senior-ui-ux-designer/1195545.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
"Chuyên Viên QC ( Quality Control ) Thu Nhâp Upto 1,600 USD",GEM MULTIMEDIA SDN. BHD,"1,500 - 1,600 USD",Nước Ngoài,Hạn nộp hồ sơ: 13/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáo,2 năm,Toàn thời gian,"- Tốt nghiệp chuyên ngành CNTT, Quản lý chất lượng hoặc các chuyên ngành khác có liên quan.- Có 1-2 năm kinh nghiệm quản trị chất lượng dự án phần mềm, website, hoặc trợ lý dự án, điều phối viên dự án phần mềm, website.- Ưu tiên các ứng viên đang làm QA/QC cho các dự án các công ty BPO cho Facebook, Google, Tiktok ......- Có hiểu biết tốt về các quy trình testing. Có kinh nghiệm về CMMi, Agile Scrum, Selenium/Robot Framework- Có kinh nghiệm giám sát tiến độ, chất lượng các dự án triển khai CRM, ERP... là một lợi thế- Khả năng tự lập kế hoạch & triển khai công việc.- Giao tiếp tốt, chủ động, tinh thần trách nhiệm cao trong công việc, làm việc sâu sát.- Chăm chỉ, cẩn thận, kiên trì và có trách nhiệm trong công việc. Thái độ hơn Trình độ.- Kỹ năng xây dựng quy trình, kỹ năng viết báo cáo, kỹ năng trình bày rõ ràng, sử dụng thành thạo công cụ JIRA.....- Tư duy quy trình và tư duy logic tốt.- Khả năng multi task và quản lý thời gian tốt.- Tiếng Anh giao tiếp cơ bản, đọc và hiểu được tài liệu chuyên môn.",50 người,https://www.topcv.vn/viec-lam/chuyen-vien-qc-quality-control-thu-nhap-upto-1-600-usd/1195616.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
Nhân Viên Marketing Facebook Ads Thu Nhập Lên Đến 30 Triệu,CÔNG TY TNHH SRTRAVEL INTERNATIONAL,10 - 30 triệu,Hà Nội,Hạn nộp hồ sơ: 13/01/2024,Nhân viên,Báo chí / Truyền hìnhDu lịchMarketing / Truyền thông / Quảng cáo,1 năm,Toàn thời gian,"· Có từ 1 năm kinh nghiệm chạy Ads (triển khai tốt các hoạt động Facebook Ads)· Biết Edit Video, chỉnh sửa hình ảnh, làm content;· Từng chạy ngân sách lớn, làm nhiều mảng, từng chạy về du lịch là 1 lợi thế· Tuổi từ 2000 – 1996· Mạnh về media· Có khả năng tư duy, sáng tạo và học hỏi",2 người,https://www.topcv.vn/viec-lam/nhan-vien-marketing-facebook-ads-thu-nhap-len-den-30-trieu/1195672.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
Account Manager ( Nhân Viên Kinh Doanh POSM) Tại Hồ Chí Minh - Mức Lương 10 - 18 Triệu,Công ty TNHH Quảng Cáo TM - DV - SX Vô Cực,10 - 18 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Kinh doanh / Bán hàngMarketing / Truyền thông / Quảng cáoThiết kế nội thất,2 năm,Toàn thời gian,"- Tối thiểu 2 năm kinh nghiệm- Phải có kiến thức tốt về kinh doanh, trade marketing, thương hiệu.- Thành thạo tin học văn phòng: Word, Excel, Power point- Kinh nghiệm làm việc: tối thiểu 02 năm ở vị trí tương đương, am hiểu thị trường sản xuất quảng cáo POSM, event, activation.- Ưu tiên đã có kinh nghiệm kinh doanh trong lĩnh vực sản xuất POSM và các ngành liên quan. Có mối quan hệ rộng trong lĩnh vực.- Năng động, nhạy bén, quản lý, có tinh thần trách nhiệm.",3 người,https://www.topcv.vn/viec-lam/account-manager-nhan-vien-kinh-doanh-posm-tai-ho-chi-minh-muc-luong-10-18-trieu/1190411.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
Nhân Viên SEO Marketing Tại Hà Nội (Thu Nhập 8 - 20 Triệu),CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ GIẢI TRÍ HUTA MEDIA,8 - 20 triệu,Hà Nội,Hạn nộp hồ sơ: 11/01/2024,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáoCông nghệ thông tin,Không yêu cầu kinh nghiệm,Toàn thời gian,"Yêu thích về nhạc nói chungYêu thích và muốn học hỏi về Youtube, FacebookKiên trì, chăm chỉ, tự giác có trách nhiệm với công việcBiết sử dụng cơ bản các phần mềm chỉnh sửa ảnh, video như Photoshop, Premiere, ....Phẩm chất cá nhânChủ động trong công việc, sáng tạo trong công việcTrung thực, nhiệt tình công tác, chủ động trong công việcTeamwork và Thái độ làm việc nghiêm túc, hòa đồng và vui vẻ với mọi người.",5 người,https://www.topcv.vn/viec-lam/nhan-vien-seo-marketing-tai-ha-noi-thu-nhap-8-20-trieu/1192865.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
Content Creator / Content Marketing,CÔNG TY CỔ PHẦN ANGEL VIỆT NAM,Thoả thuận,Hồ Chí Minh,Hạn nộp hồ sơ: 08/01/2024,Nhân viên,Biên / Phiên dịchBáo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáo,1 năm,Toàn thời gian,"Từ 24 tuổiCó kinh nghiệm triển khai, lập kế hoạch và phát triển nội dung trên các kênh Facebook, Tiktok, YoutubeCó hiểu biết và xác định được xu hướng trên các nền tảng xã hội.Có kinh nghiệm phát triển và thực hiện các chiến dịch quảng cáo MKT.Có khả năng phân tích hành vi của khách hàng khi sử dụng sản phẩm, lên kế hoạch tạo các content chăm sóc và hướng dẫn cho khách hàng.Có trên 1 năm kinh nghiệm ở lĩnh vực liên quan.",1 người,https://www.topcv.vn/viec-lam/content-creator-content-marketing/1192193.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
Trưởng Bộ Phận Sản Xuất Công Ty Quảng Cáo Tại Hồ Chí Minh (Lương Từ 10 - 18 Triệu),Công ty TNHH Quảng Cáo TM - DV - SX Vô Cực,12 - 18 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 31/12/2023,Trưởng/Phó phòng,Marketing / Truyền thông / Quảng cáoXây dựngThiết kế nội thất,2 năm,Toàn thời gian,"- Có ít nhất 02-3 năm kinh nghiệm trong lĩnh vực giám sát/trưởng nhóm các Dự án (bảng hiệu, quầy kệ), công trình lắp đặt và thi công nội thất hoặc sự kiện, Showroom, hoàn thiện công trình, nội thất.- Có khả năng đọc bản vẽ thiết kế, và thành thạo Autocad- Am hiểu về vật tư và thi công (Sắt, alu, mica, ván, formex...)- Có tinh thần trách nhiệm cao- Chịu khó và chịu được áp lực cao trong công việc.- Nhiệt tình, năng động, nhạy bén.- Có Kỹ năng làm việc nhóm.- Ưu tiên các bạn đã có kinh nghiệm trong lĩnh vực sản xuất/quảng cáo",1 người,https://www.topcv.vn/viec-lam/truong-bo-phan-san-xuat-cong-ty-quang-cao-tai-ho-chi-minh-luong-tu-10-18-trieu/1190430.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055727
"Performance Marketing Tiktok, Facebook",CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI YẾN SÀO PHƯƠNG NAM,10 - 15 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 13/01/2024,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáoBán lẻ / bán sỉ,1 năm,Toàn thời gian,"• Có ít nhất 1 năm kinh nghiệm ở vị trí tương đương• Ưu tiên có kinh nghiệm trong lĩnh vực thực phẩm• Cẩn thận, trung thực, có trách nhiệm với công việc.",2 người,https://www.topcv.vn/viec-lam/performance-marketing-tiktok-facebook/1195395.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703055733
